tid,cid,typ,dt,amt,hrs,paystat,col8
T000117,C00004,Receipt,07-03-23,40130,,Unknown,Y
T000118,C00363,timesheet,05/04/2021,£15623,35.8,Late,
T000119,C00184,INV,18/10/2023,48.869K,,paid,
T000120,C00242,invoice,06/04/2023,£1914,,1,
T000121,CASE452,Expenses,2022-07-10,20.272K,,P,
T000122,C00162,Expenses,2022-05-11,GBP 18283,,U,X
T000123,CASE361,Expense,24/06/2021,46.844K,,O,X
T000124,C00170,Timesheet,25-10-21,£20480,20.7,Overdue,Y
T000125,CASE340,INV,11/10/2023,GBP 3499,,Unpaid,
T000126,CASE18,Receipt,05-11-22,24448,,Paid,
T000127,C00469,Payment,06/12/2023,GBP 1957,,,
TXN128,C00316,timesheet,09/08/2023,GBP 33687,22.3,Paid,X
T000129,C00263,payment,29/01/2022,13.232K,,1,Y
T000130,C00055,I,25-07-21,£39576,,Unpaid,
T000131,C00182,P,07/31/2023,GBP 8787,,O,
T000132,C00375,Expenses,07/02/2023,GBP 28592,,overdue,
T000133,C00434,Time,17/07/2023,16191.00,30.9,1,X
T000134,C00332,E,2021-08-16,19933.00,,Complete,X
T000135,C00429,PAY,2021-11-27,£22636,,Overdue,
T000136,CASE97,INV,27/08/2021,GBP 20437,,P,
T000137,C00018,expense,15-08-23,GBP 44253,,Unknown,X
TXN138,C00211,payment,08/08/2022,£27236,,Complete,Y
T000139,C00072,Receipt,07-08-23,£37043,,Pending,
T000140,CASE67,expense,01/08/2022,£16875,,,
T000141,C00025,PAY,31-10-22,30573,,,
T000142,C00228,Bill,22/10/2021,GBP 4736,,P,
T000143,C00461,payment,2023-09-16,GBP 4263,,paid,X
T000144,C00123,Payment,08-06-21,GBP 21098,,Complete,Y
T000145,CASE452,PAY,09/11/2022,£8134,,paid,
T000146,C00444,expense,13-02-21,26.25K,,Complete,Y
T000147,C00367,P,29-11-21,29.424K,,Pending,Y
T000148,CASE276,invoice,09/05/2023,29.734K,,paid,Y
T000149,C00182,P,16/10/2021,24.43K,,Overdue,
T000150,CASE272,TIME,07/09/2023,£18456,28.8,0,Y
T000151,C00004,INV,05/28/2022,34564,,,
T000152,C00294,invoice,17/08/2022,GBP 2732,,Late,Y
T000153,C00322,P,21/09/2023,GBP 34781,,Complete,X
T000154,C00348,I,29/09/2023,38997.00,,Unknown,
T000155,C00045,timesheet,07-06-22,15.834K,19.5,P,Y
T000156,C00400,invoice,2021-07-07,£26180,,Paid,Y
T000157,C00323,Timesheet,01/05/2023,24397,11.5,1,Y
T000158,C00243,Invoice,19-02-23,£44082,,P,Y
T000159,CASE276,PAY,2022-12-02,2295.00,,Late,Y
T000160,C00300,timesheet,03/12/2022,£6579,34.1,0,X
TXN161,CASE10,timesheet,01/31/2021,35.29K,30.4,Late,Y
T000162,C00057,invoice,05/20/2023,£47669,,paid,Y
T000163,C00260,payment,2023-05-18,£20091,,Unknown,Y
T000164,C00050,Time,2023-10-08,GBP 17342,38.0,unpaid,
T000165,C00176,P,01-09-21,GBP 49876,,0,X
T000166,C00147,payment,06/18/2022,GBP 39089,,O,X
T000167,CASE56,Timesheet,11/22/2023,23.554K,25.3,O,
T000168,CASE448,E,26/02/2021,£38030,,1,X
T000169,CASE135,I,10-05-22,22025.00,,Paid,Y
T000170,CASE441,Hours,30/01/2023,41.232K,,Paid,Y
T000171,C00156,Time,2023-08-22,34496,20.8,0,Y
TXN172,C00170,INV,09-05-21,32659,,unpaid,X
T000173,C00268,I,18-10-22,£24207,,Pending,
T000174,C00033,EXP,2021-03-11,GBP 341,,unpaid,X
TXN175,C00196,Invoice,14-02-23,£49618,,Unpaid,
TXN176,C00022,E,2021-12-13,45.2K,,Unknown,X
T000177,C00145,timesheet,04-04-23,£27956,32.8,paid,X
T000178,C00377,Timesheet,08/14/2023,GBP 8380,30.2,,X
T000179,C00410,Expenses,07-10-21,6490.00,,Paid,
T000180,CASE449,PAY,2022-10-13,7080,,Complete,X
TXN181,C00253,Timesheet,03/18/2021,£4010,18.0,unpaid,X
T000182,C00450,E,2022-04-09,44.42K,,Paid,
T000183,C00302,E,2021-05-25,31546.00,,P,
T000184,C00429,Receipt,2023-06-18,39.604K,,N/A,Y
T000185,C00178,timesheet,12/04/2021,£47389,4.9,Overdue,Y
T000186,C00362,PAY,03-09-22,32110.00,,N/A,X
T000187,C00227,Bill,10-04-23,GBP 18593,,N/A,
T000188,CASE26,TIME,06/04/2021,45185.00,25.0,Complete,
T000189,C00423,INV,2023-01-21,36.707K,,paid,X
T000190,C00023,Time,2023-06-15,GBP 23029,32.9,Unpaid,Y
T000191,C00194,Bill,2022-05-04,25807,,Pending,X
T000192,C00183,PAY,29-10-22,GBP 1938,,Pending,X
T000193,C00261,Invoice,2022-08-24,GBP 16912,,Paid,X
T000194,C00105,EXP,2022-08-23,4812.00,,,X
T000195,C00291,PAY,08/02/2022,37.751K,,Pending,Y
T000196,C00379,Hours,2023-06-13,GBP 38155,,0,Y
T000197,C00072,expense,2022-05-15,9126,,Paid,
T000198,C00462,Expense,08/15/2022,37311,,overdue,Y
T000199,C00056,Time,11/03/2021,4793.00,17.4,P,Y
T000200,C00270,Invoice,2023-07-23,10763,,overdue,X
T000201,CASE200,EXP,04/04/2023,£5549,,Overdue,Y
T000202,C00151,I,06/06/2023,49797.00,,paid,X
T000203,C00298,Invoice,2022-01-18,47.239K,,paid,Y
TXN204,C00271,Time,2023-11-05,GBP 45355,8.0,1,
T000205,C00246,Time,05/31/2022,752.00,12.9,overdue,Y
T000206,CASE468,Expense,06/11/2021,GBP 15278,,Complete,X
T000207,C00110,payment,19/03/2023,6632,,N/A,X
T000208,C00102,P,2023-01-29,GBP 10095,,Pending,X
TXN209,C00123,Bill,08/12/2022,3437,,Unknown,X
T000210,C00326,Time,24/12/2022,21023,25.0,,X
T000211,C00198,INV,30/08/2021,7961,,overdue,X
T000212,CASE416,Receipt,30/12/2021,11.866K,,overdue,Y
T000213,C00115,PAY,01/30/2022,32.466K,,1,X
T000214,C00259,invoice,20-03-22,37.649K,,paid,Y
T000215,C00400,P,2023-05-03,37999.00,,Late,X
T000216,CASE132,Invoice,13/04/2023,10457,,Late,
T000217,C00187,invoice,05-05-21,29289.00,,Unpaid,
TXN218,C00354,timesheet,17-03-22,GBP 2333,13.4,U,Y
T000219,C00053,PAY,04/08/2023,12100,,Paid,
T000220,C00467,TIME,01/08/2022,26.096K,38.5,paid,
T000221,C00340,timesheet,2022-12-07,£28778,26.2,Pending,Y
T000222,C00378,Expenses,14-05-23,8359,,O,X
T000223,C00178,PAY,2023-06-18,16920,,Overdue,X
T000224,C00173,EXP,24/07/2022,GBP 27090,,paid,
TXN225,C00459,Payment,01/16/2022,29009.00,,Overdue,
T000226,C00355,Bill,04/09/2021,32322.00,,Unpaid,
T000227,C00246,EXP,2022-03-18,39337.00,,Late,X
T000228,CASE208,INV,03/21/2022,GBP 6773,,Unpaid,
T000229,C00225,Time,10/21/2021,£20716,23.9,Unknown,
T000230,C00387,P,2023-11-04,£36602,,O,
T000231,CASE255,I,14/01/2021,25.813K,,P,Y
T000232,C00385,Timesheet,2023-10-13,£48142,5.3,,Y
TXN233,C00064,timesheet,2022-06-20,30364,23.0,Late,X
T000234,C00153,EXP,03/09/2023,41748,,paid,
T000235,C00347,timesheet,07/12/2023,26379,32.7,paid,
T000236,CASE449,invoice,2021-04-20,GBP 48025,,overdue,
T000237,C00262,TIME,2023-02-20,£25811,25.0,Overdue,X
TXN238,C00314,E,02/16/2023,6218,,Unpaid,Y
T000239,C00263,EXP,28/09/2021,15148.00,,Unknown,X
T000240,C00281,Expenses,18/12/2023,31795.00,,Unknown,X
T000241,C00405,payment,12/16/2021,10.007K,,Paid,X
T000242,CASE204,timesheet,14/10/2022,48524,9.4,Unknown,
T000243,C00135,I,13-10-21,13797.00,,0,Y
T000244,C00130,Hours,15-03-23,£2174,,Paid,
T000245,CASE376,PAY,2022-04-23,366,,,X
T000246,C00270,Bill,15-01-23,9500.00,,Late,X
T000247,C00087,expense,2023-03-26,GBP 42703,,overdue,Y
T000248,C00197,Timesheet,07-12-21,43.498K,5.2,Overdue,
T000249,C00377,EXP,2023-09-12,£7037,,Paid,
T000250,CASE239,Hours,04/06/2022,39.395K,,Late,X
T000251,CASE301,Timesheet,09/07/2022,44243,36.8,U,Y
T000252,C00399,Payment,21/03/2023,32321.00,,overdue,X
T000253,C00095,I,26/09/2023,£20818,,Unpaid,Y
T000254,C00281,Hours,06/08/2022,40304.00,,Unknown,Y
T000255,C00270,PAY,29-05-21,20267,,P,X
TXN256,C00458,timesheet,30-01-22,23099,20.8,,
T000257,C00153,Bill,25/02/2023,£3039,,,Y
T000258,C00492,E,11-03-21,8975.00,,N/A,X
T000259,C00206,payment,2022-04-09,45137,,,X
T000260,C00404,Receipt,2023-11-03,GBP 45812,,Complete,Y
T000261,C00182,invoice,2023-09-30,42.088K,,U,Y
T000262,C00202,invoice,12/03/2021,GBP 44486,,U,X
T000263,CASE442,PAY,28/02/2021,£17648,,O,Y
T000264,C00148,Bill,21-02-23,33286,,P,Y
T000265,C00162,Payment,04-12-22,GBP 26137,,Overdue,
T000266,C00161,P,07/11/2021,36.584K,,Paid,X
T000267,C00099,expense,09-02-21,12.653K,,Late,Y
TXN268,C00027,Bill,2021-12-24,2878,,N/A,X
TXN269,C00489,PAY,01-09-23,GBP 36658,,Overdue,
T000270,C00445,P,22-03-22,38.465K,,0,
T000271,CASE186,expense,2023-08-06,6443,,paid,X
T000272,C00269,Expenses,07/08/2022,37.474K,,Paid,X
T000273,C00462,TIME,18/06/2023,18501.00,13.5,Paid,
T000274,C00421,PAY,2021-11-22,GBP 3968,,U,
TXN275,C00433,P,11/27/2021,GBP 11437,,paid,X
T000276,C00345,payment,07/22/2021,5586,,unpaid,
TXN277,C00302,INV,11-08-23,16555,,Pending,
T000278,C00323,PAY,02-03-22,25718,,1,
T000279,C00154,Receipt,25/11/2022,GBP 10562,,,X
TXN280,C00014,invoice,05/03/2023,46263,,overdue,
T000281,C00285,TIME,15-08-21,15275.00,9.0,unpaid,
T000282,C00407,Payment,06/02/2022,£3159,,unpaid,Y
T000283,C00009,INV,29/09/2021,29631.00,,,X
T000284,C00182,Expenses,10-06-22,£42984,,1,
T000285,C00122,Invoice,15/10/2021,15.203K,,Overdue,X
T000286,C00394,timesheet,23/11/2022,20089,7.7,Complete,Y
T000287,C00243,timesheet,12-03-22,£28145,6.5,Overdue,X
T000288,C00140,Expenses,2021-10-02,49.305K,,Late,X
T000289,CASE30,Bill,22-04-22,4258.00,,U,Y
T000290,C00158,Time,02/28/2021,26106,14.1,Unknown,Y
T000291,C00330,E,2021-11-14,19607,,P,X
T000292,C00446,timesheet,12-07-23,6086.00,27.8,overdue,
T000293,CASE195,Expense,2022-08-22,20981.00,,0,Y
T000294,C00385,Bill,2021-04-23,GBP 41476,,Unpaid,Y
T000295,C00013,I,04/06/2021,17729.00,,overdue,X
T000296,C00451,timesheet,30/01/2022,48079.00,22.8,Pending,
T000297,CASE464,I,26/11/2022,38.998K,,overdue,Y
T000298,C00415,Expense,08/04/2022,17013,,N/A,
T000299,C00225,Time,03/13/2022,34795.00,23.1,overdue,
T000300,C00376,E,23/05/2023,GBP 42167,,Unpaid,Y
TXN301,C00441,EXP,19/02/2021,£16806,,O,X
T000302,C00475,Bill,26/03/2021,45.201K,,overdue,
T000303,C00033,Expense,06-07-21,20.53K,,Complete,X
T000304,C00121,invoice,19-04-22,£36814,,U,
T000305,C00376,Receipt,2021-05-26,12864.00,,U,Y
T000306,CASE285,Invoice,15-07-21,5980,,Unknown,
T000307,C00187,P,28-06-22,GBP 19997,,Unpaid,X
T000308,C00389,Payment,14-05-22,GBP 42449,,Paid,Y
T000309,C00464,payment,19-07-21,4255,,Paid,X
T000310,CASE369,E,08/03/2021,GBP 14336,,Paid,
T000311,CASE430,P,31/10/2023,47828,,overdue,
T000312,C00433,payment,09/04/2023,GBP 8221,,P,Y
T000313,C00329,EXP,02/05/2021,GBP 12746,,Unpaid,
T000314,C00276,expense,2023-09-29,GBP 17783,,overdue,Y
T000315,C00116,EXP,2021-08-13,15.797K,,unpaid,X
T000316,C00447,Expenses,17-05-23,£16039,,Pending,X
T000317,C00380,Receipt,04/08/2023,39787.00,,unpaid,X
T000318,C00181,TIME,2022-09-24,49021,12.9,Pending,
T000319,C00319,expense,12-03-21,33.511K,,,Y
T000320,C00017,Bill,29/05/2022,10856.00,,Unpaid,
T000321,C00197,PAY,2021-11-21,37315.00,,Pending,Y
T000322,C00399,TIME,03/12/2022,£5483,9.1,P,Y
T000323,C00225,Receipt,2022-10-21,24.857K,,N/A,X
T000324,C00134,Hours,20-02-22,GBP 7856,,unpaid,Y
T000325,C00193,Receipt,2023-06-20,37246.00,,Late,X
TXN326,C00060,Invoice,26/04/2022,31655.00,,Paid,X
T000327,C00132,expense,26-07-23,GBP 31577,,paid,
T000328,CASE286,Timesheet,07/01/2021,GBP 754,37.0,N/A,X
T000329,C00335,E,03/05/2021,£8274,,O,Y
T000330,C00347,expense,20/08/2023,20434.00,,Late,Y
T000331,C00210,Receipt,2022-11-26,42534.00,,O,
T000332,C00021,expense,10/23/2023,GBP 14532,,0,
T000333,CASE478,E,12/08/2022,41060.00,,unpaid,Y
T000334,C00403,timesheet,12-05-23,2429,28.5,0,Y
T000335,C00275,expense,2023-12-06,GBP 4672,,,Y
T000336,C00377,PAY,20/12/2021,3680.00,,O,
T000337,C00492,payment,07/23/2023,GBP 46155,,O,Y
T000338,C00489,Hours,2023-03-19,£7168,,N/A,Y
T000339,C00205,Timesheet,2023-10-24,17473.00,6.1,Complete,Y
T000340,C00287,Payment,12-12-22,13.83K,,Complete,Y
T000341,C00079,INV,14/11/2022,GBP 39685,,1,
T000342,C00494,TIME,2021-05-18,16251,32.9,Complete,Y
T000343,C00213,payment,2023-06-21,34935.00,,Unknown,
T000344,C00041,EXP,2023-03-02,37171,,O,Y
T000345,C00034,P,08/11/2023,2003,,unpaid,X
T000346,C00444,Payment,2022-07-14,GBP 48413,,paid,X
TXN347,C00492,Payment,11/13/2023,7967,,Unpaid,
T000348,C00354,timesheet,2021-01-14,GBP 29269,25.3,Unpaid,X
TXN349,C00262,P,08/03/2021,42800,,paid,X
T000350,C00500,Invoice,05-07-21,10665,,Unpaid,Y
T000351,C00088,E,05-06-21,44548,,Unpaid,
T000352,C00489,Hours,01-10-21,23.309K,,paid,X
T000353,C00375,PAY,02/28/2021,GBP 17886,,1,Y
T000354,C00331,P,2022-05-24,6773,,paid,X
T000355,CASE137,Expenses,2023-04-14,GBP 38257,,Overdue,X
T000356,C00455,expense,19/06/2022,6702,,N/A,
T000357,CASE129,invoice,01/29/2022,17056.00,,Pending,
T000358,C00327,PAY,06/08/2021,20479,,O,X
T000359,C00106,EXP,11/17/2022,£22092,,,Y
T000360,C00358,INV,2021-03-03,17760,,1,Y
T000361,CASE194,Timesheet,2022-02-07,44237.00,20.3,Pending,
T000362,C00122,PAY,24-11-22,GBP 31296,,Overdue,
T000363,C00435,Receipt,11/06/2021,45.849K,,1,Y
T000364,C00201,P,01/01/2022,£21980,,paid,X
T000365,C00475,Expenses,15-11-23,32.052K,,Complete,X
T000366,C00469,timesheet,07-03-23,GBP 33521,7.8,Late,
T000367,C00326,payment,28/07/2021,44612.00,,Overdue,Y
T000368,C00172,Invoice,12/14/2023,GBP 44543,,,X
T000369,C00045,INV,2023-06-02,39.077K,,O,
T000370,CASE62,EXP,14/04/2022,£27439,,1,
T000371,C00035,INV,05/09/2022,34978,,P,X
T000372,C00415,Hours,03/14/2022,5745,,Paid,Y
T000373,C00001,I,21/03/2022,£48849,,Paid,X
T000374,CASE436,EXP,12-03-21,31904,,U,
T000375,C00247,INV,14/04/2021,GBP 30395,,Paid,Y
T000376,CASE205,PAY,10/09/2023,£9463,,Paid,X
T000377,C00400,INV,23-09-23,3087,,1,Y
T000378,C00099,payment,29/08/2022,15.936K,,unpaid,X
T000379,C00481,Expense,02/20/2023,46778.00,,Complete,X
T000380,C00107,Hours,30/12/2021,30124.00,,Unknown,X
T000381,C00493,INV,2022-07-07,GBP 6859,,Pending,X
T000382,C00450,Invoice,2022-02-14,GBP 13139,,Unknown,X
T000383,CASE418,Timesheet,24/10/2022,24518,24.4,Paid,
T000384,C00098,Timesheet,17/11/2022,20079,25.0,U,X
T000385,C00241,PAY,25/10/2021,23011.00,,Late,
T000386,C00360,Payment,22/01/2023,GBP 34270,,Unknown,Y
T000387,CASE57,P,17/03/2023,4108.00,,Unpaid,X
TXN388,C00423,Bill,15-09-23,£5055,,Paid,
T000389,C00413,TIME,03-03-21,GBP 11925,23.3,U,Y
T000390,CASE26,Timesheet,04/04/2022,10897,15.9,Paid,Y
T000391,C00112,expense,2023-09-21,GBP 10222,,Overdue,
T000392,C00276,timesheet,30/03/2022,GBP 28455,1.0,0,Y
T000393,C00038,P,09-04-22,20052,,,X
T000394,C00079,expense,05-05-23,11760.00,,Late,Y
T000395,CASE383,Expense,2021-04-24,£33215,,N/A,
T000396,C00496,Receipt,2022-12-28,39026,,Unknown,Y
T000397,C00362,INV,2022-09-19,31.377K,,Complete,Y
T000398,C00302,Bill,2022-10-10,8442,,,
T000399,C00135,P,23/01/2022,19297,,,
T000400,C00307,timesheet,2023-06-24,1658.00,0.8,P,Y
T000401,C00315,Invoice,07/17/2021,£40225,,Unpaid,Y
TXN402,C00071,invoice,20/10/2021,29053.00,,1,X
T000403,C00134,Time,22/03/2023,36.857K,25.9,,
T000404,C00143,TIME,26-11-21,41.21K,21.6,O,X
T000405,CASE83,Timesheet,2021-09-30,2846,2.4,Late,
T000406,C00448,Bill,23-11-22,34773.00,,Pending,X
T000407,C00078,Hours,01/07/2022,40.289K,,,X
T000408,CASE15,invoice,2023-05-19,44446.00,,Paid,
TXN409,C00389,TIME,2022-08-21,34535,0.7,N/A,X
T000410,C00453,invoice,10/09/2021,5382.00,,O,
T000411,CASE30,timesheet,2022-02-02,43023.00,34.8,paid,Y
T000412,C00396,Payment,18-02-23,25288,,Complete,Y
T000413,C00289,Bill,13-05-23,£8427,,Unknown,X
T000414,C00441,timesheet,07/03/2021,GBP 34358,29.6,Paid,X
T000415,C00036,Invoice,11/28/2022,GBP 3658,,,
T000416,CASE52,Bill,26/04/2022,£40649,,P,
T000417,C00242,payment,26/10/2023,GBP 1997,,N/A,Y
T000418,C00191,Expenses,05/24/2022,GBP 21797,,Complete,Y
T000419,CASE482,I,05/08/2022,£25392,,paid,X
T000420,C00049,EXP,2022-09-16,£37157,,O,Y
T000421,C00403,E,2021-03-07,GBP 28694,,1,
T000422,C00419,INV,09-08-22,41581.00,,Complete,Y
T000423,C00321,PAY,26-05-23,GBP 16594,,P,
T000424,C00160,Hours,11/27/2021,21.554K,,Paid,
T000425,C00363,I,2023-02-06,GBP 15089,,unpaid,X
T000426,CASE86,Hours,08-02-22,11.874K,,O,Y
T000427,C00137,TIME,12/14/2023,20.347K,36.4,Overdue,Y
T000428,C00392,PAY,2022-06-03,46522,,U,X
T000429,C00021,Bill,14-07-21,32.739K,,0,
T000430,CASE172,Expenses,2022-06-21,31575,,Pending,X
T000431,C00317,Hours,30/09/2023,14555.00,,P,
T000432,C00499,E,07-10-22,25.359K,,Complete,X
T000433,CASE420,Expenses,03/21/2021,17.215K,,O,Y
T000434,C00109,P,08/16/2023,24.129K,,N/A,
T000435,C00253,expense,25-10-22,GBP 10460,,unpaid,X
T000436,C00268,Time,08/17/2021,34.231K,35.9,paid,X
T000437,C00457,P,02-12-22,9116,,Pending,
T000438,C00104,expense,26/05/2022,£43037,,Pending,X
T000439,C00111,Expenses,20-10-22,44595.00,,U,Y
T000440,C00331,I,2022-04-06,£3223,,N/A,
T000441,C00181,INV,07/02/2022,£35225,,Unpaid,
T000442,CASE63,payment,05/22/2022,£16793,,1,
T000443,C00296,Time,23/05/2022,28.639K,38.7,Overdue,X
T000444,C00003,TIME,04/20/2022,31773,27.5,P,X
T000445,C00278,Bill,2021-08-05,£35921,,P,
T000446,C00116,Timesheet,2021-10-28,10498,3.2,N/A,
T000447,C00299,expense,03-02-21,42.735K,,O,X
T000448,CASE130,Expense,02/08/2021,£27250,,1,Y
T000449,C00404,Time,2022-10-23,31.32K,11.5,Paid,
T000450,C00028,invoice,12-04-22,30401,,Late,
TXN451,C00379,Time,09-07-23,£47364,22.5,Unknown,X
T000452,C00367,Bill,11-12-23,28.983K,,Late,X
T000453,C00307,I,20-05-23,647.00,,Overdue,X
T000454,C00352,P,24/06/2023,GBP 3498,,U,Y
T000455,C00269,timesheet,21-01-22,14659,19.2,Unpaid,Y
T000456,C00195,expense,09-03-21,30.242K,,U,
