cid,custid,sol,typ,val,dt_start,st,col8
C00028,69,Sarah Jones,IMMIGRATION,GBP 71057,22/12/2022,Complete,X
C00029,79,James Davies,FAMILY,83856.00,2022-09-15,Done,Y
C00030,102,David Taylor,Commercial,GBP 355328,2022-09-05,Pending,N/A
C00031,164,James Davies,commercial,303597.00,23-05-21,OPEN,Y
C00032,63,Susan Robinson,Disp,£410700,24-03-23,IP,N/A
C00033,169,Andrew Roberts,Will,£102118,03/08/2023,Complete,Y
C00034,44,Karen Edwards,CONVEYANCING,£431449,2023-09-04,Open,X
C00035,59,James Davies,contract,£219178,2023-05-12,Complete,Y
C00036,144,Jennifer Thomas,Wills,GBP 305850,18/01/2022,OPEN,Y
CASE37,193,Lisa Johnson,Disp,175.644K,28/10/2021,Paused,Y
C00038,53,Emma Wilson,PROPERTY,£6017,09/05/2023,In Progress,
C00039,47,Jennifer Thomas,property,220.59K,04/08/2023,Open,Y
C00040,140,David Taylor,employment,GBP 336378,11/24/2023,C,N/A
C00041,142,Jennifer Thomas,Dispute,£432457,17/10/2022,C,N/A
C00042,140,Lisa Johnson,Contract,GBP 214581,24/07/2023,C,X
C00043,83,Lisa Johnson,litigation,33.688K,03-05-21,Open,
CASE44,84,Charles Thompson,Disp,376951.00,20-03-21,closed,Y
C00045,18,Robert Smith,ip,453.864K,2022-11-17,pending,Y
C00046,33,Jennifer Thomas,Empl,GBP 26372,31-07-22,CLOSED,N/A
C00047,97,Robert Smith,corp,£328652,05/15/2021,C,X
C00048,49,Michael Brown,conveyancing,347900.00,23-05-22,Pending,X
C00049,157,Emma Wilson,IP,407.273K,24-08-21,OPEN,N/A
C00050,19,Richard Evans,Comm,GBP 64751,26-08-23,Paused,Y
C00051,96,Lisa Johnson,Fami,GBP 215759,02/26/2021,Complete,X
C00052,65,Sarah Jones,conveyancing,317.411K,18/09/2021,In Progress,Y
C00053,169,Andrew Roberts,PROPERTY,GBP 113994,06/29/2021,Active,Y
C00054,43,Karen Edwards,CONVEYANCING,184176,05-10-23,Paused,Y
C00055,163,Richard Evans,LITIGATION,GBP 408365,25/02/2022,Paused,
C00056,44,Patricia White,IP,£384071,10/24/2021,Active,
C00057,120,Charles Thompson,dispute,13041.00,2021-06-21,Active,
C00058,195,Patricia White,IP,224306.00,2022-10-16,Active,
C00059,200,David Taylor,property,38848.00,2023-01-25,Active,N/A
C00060,170,Lisa Johnson,Fami,GBP 249085,2022-02-26,OPEN,X
CASE61,49,Susan Robinson,Family,GBP 302901,28/02/2023,Pending,Y
C00062,188,Jennifer Thomas,IP,GBP 440290,2021-01-20,Complete,X
C00063,167,Emma Wilson,corp,£17196,2021-11-27,Pending,X
C00064,6,Robert Smith,CORP,GBP 414755,02/12/2022,Paused,X
C00065,165,Susan Robinson,Fami,£499331,25-11-21,open,
C00066,7,Lisa Johnson,CORP,GBP 272133,2023-09-08,On Hold,N/A
C00067,195,Charles Thompson,Contract,GBP 109367,11/21/2021,IP,Y
CASE68,171,James Davies,IP,412895.00,2021-04-27,closed,N/A
C00069,192,Lisa Johnson,Family,£343367,2021-08-09,Done,
C00070,179,Jennifer Thomas,dispute,£114986,2021-01-22,OPEN,Y
C00071,63,Andrew Roberts,Employment,120.209K,17/06/2022,CLOSED,N/A
C00072,142,David Taylor,Conveyancing,429166,28-10-21,In Progress,Y
C00073,153,Karen Edwards,Family,£328840,04/07/2022,Finished,Y
C00074,80,Michael Brown,DISPUTE,178232,2022-10-28,Finished,
C00075,39,Charles Thompson,family,193869,11/05/2021,closed,
C00076,195,James Davies,property,£164282,03/07/2022,In Progress,Y
C00077,12,Susan Robinson,Disp,213120,12/09/2022,Active,Y
C00078,79,Patricia White,Will,482656,10/06/2021,Pending,Y
C00079,176,Susan Robinson,Conv,£77605,17/10/2022,IP,Y
C00080,95,Richard Evans,ip,75292.00,06/11/2021,In Progress,N/A
C00081,22,Richard Evans,Empl,GBP 150414,05/04/2021,Open,Y
C00082,72,David Taylor,Fami,£146716,08/01/2021,In Progress,
C00083,132,Susan Robinson,DISPUTE,454.401K,17/06/2022,pending,X
C00084,88,Patricia White,Liti,£217842,2021-02-10,pending,Y
C00085,119,Jennifer Thomas,CORP,£375304,08/31/2023,On Hold,N/A
C00086,189,Susan Robinson,CONTRACT,£203228,30/03/2022,OPEN,Y
C00087,108,Karen Edwards,Wills,75891,15-06-23,Open,X
C00088,22,Robert Smith,employment,348.523K,20-04-21,Complete,X
C00089,66,Emma Wilson,PROPERTY,179169.00,29-09-23,open,
C00090,166,Robert Smith,EMPLOYMENT,65410,29-09-23,open,X
C00091,176,Patricia White,dispute,173767.00,11-05-22,open,N/A
C00092,130,David Taylor,Conv,90605,2023-03-12,Complete,Y
C00093,124,Charles Thompson,EMPLOYMENT,52254,2023-12-03,Complete,
C00094,176,Sarah Jones,ip,GBP 175411,2021-08-10,Paused,Y
C00095,3,Charles Thompson,commercial,142742,10/02/2023,Closed,
C00096,123,Emma Wilson,family,429.019K,14-06-22,Open,
CASE97,124,Lisa Johnson,Immigration,GBP 305313,23-10-23,On Hold,X
CASE98,17,Patricia White,Immi,£391456,05/19/2023,Pending,X
C00099,134,Lisa Johnson,commercial,252225.00,10/03/2021,C,X
C00100,86,Andrew Roberts,Property,196508.00,02/15/2021,closed,Y
C00101,82,Lisa Johnson,Dispute,GBP 280714,2021-04-03,Open,N/A
C00102,173,Charles Thompson,LITIGATION,£349883,2021-02-19,Finished,Y
C00103,69,Sarah Jones,Employment,103221,21/09/2022,Open,Y
C00104,31,Lisa Johnson,Litigation,GBP 330279,08/07/2022,CLOSED,
C00105,39,Susan Robinson,Immigration,432970.00,06-09-23,Pending,
C00106,51,Jennifer Thomas,commercial,90.729K,29-07-23,Open,Y
CASE107,189,Karen Edwards,immigration,GBP 445768,06/13/2022,On Hold,X
CASE108,50,Robert Smith,Corp,35696,2023-11-19,In Progress,Y
C00109,111,Robert Smith,Prop,£256565,23-02-22,Active,X
C00110,178,Lisa Johnson,Conveyancing,367033.00,2021-03-14,P,Y
C00111,4,Lisa Johnson,Employment,117021,09-02-21,Complete,Y
C00112,122,Emma Wilson,CONTRACT,93.836K,04/02/2022,IP,N/A
C00113,134,Lisa Johnson,CONVEYANCING,484.671K,2021-03-08,Active,X
C00114,1,Andrew Roberts,employment,£434921,12-12-23,Closed,N/A
C00115,89,Michael Brown,dispute,206.088K,04/04/2021,Done,X
C00116,174,Daniel Hughes,wills,GBP 384454,09/28/2022,Paused,X
C00117,67,Michael Brown,litigation,GBP 79697,2021-03-09,P,
CASE118,199,Richard Evans,Disp,355599.00,2023-11-28,Open,N/A
C00119,81,Jennifer Thomas,Conveyancing,275.374K,07/27/2023,IP,
C00120,89,Susan Robinson,Family,229076,12-01-22,open,N/A
C00121,27,Daniel Hughes,Immigration,GBP 370989,12/25/2023,C,X
C00122,139,Jennifer Thomas,Prop,GBP 337825,2022-01-14,C,Y
C00123,57,Sarah Jones,Family,GBP 261850,08-08-23,In Progress,
C00124,7,Daniel Hughes,EMPLOYMENT,82250.00,08-06-23,IP,X
C00125,33,Karen Edwards,conveyancing,268677.00,13/05/2023,Paused,X
C00126,174,Emma Wilson,WILLS,423147.00,2022-04-06,IP,Y
C00127,15,Charles Thompson,Liti,326653,2023-07-17,CLOSED,
C00128,115,Patricia White,Conv,GBP 278822,02/24/2021,Paused,N/A
C00129,73,Daniel Hughes,Cont,319249.00,23-11-23,Pending,N/A
C00130,112,David Taylor,FAMILY,255927,26-04-21,P,Y
C00131,94,Robert Smith,property,177041.00,27/02/2021,Pending,Y
C00132,2,David Taylor,Fami,£95405,17-09-21,P,N/A
C00133,57,Lisa Johnson,contract,£408260,03-07-23,Complete,
C00134,102,Michael Brown,FAMILY,GBP 21457,09/07/2023,On Hold,N/A
C00135,104,Andrew Roberts,Fami,GBP 331920,09-09-23,pending,
C00136,132,Susan Robinson,wills,345438,09/07/2021,Pending,N/A
C00137,163,Susan Robinson,Comm,GBP 46075,27-07-21,CLOSED,
C00138,65,Richard Evans,Commercial,353000,11/26/2023,open,N/A
C00139,199,Richard Evans,Conveyancing,GBP 116794,2023-09-17,Paused,N/A
C00140,131,Daniel Hughes,IP,GBP 65669,12/07/2021,CLOSED,N/A
CASE141,20,Richard Evans,IMMIGRATION,159730.00,30/11/2022,Paused,Y
CASE142,157,Karen Edwards,LITIGATION,348795,05/12/2022,P,N/A
C00143,35,Emma Wilson,LITIGATION,433639.00,21/08/2023,Pending,X
C00144,140,Charles Thompson,Corp,GBP 101369,2021-04-14,In Progress,N/A
C00145,117,Lisa Johnson,Corp,£45152,04/20/2021,IP,X
C00146,56,Susan Robinson,Immigration,169.194K,19-04-23,Pending,X
C00147,192,Daniel Hughes,EMPLOYMENT,163209.00,05/26/2023,pending,Y
C00148,128,Charles Thompson,LITIGATION,131684,04-03-22,P,X
C00149,162,Richard Evans,FAMILY,£466349,10/03/2021,IP,
C00150,36,Richard Evans,IP,GBP 201401,10/04/2023,In Progress,N/A
C00151,118,David Taylor,Cont,18652,11/23/2023,OPEN,
C00152,18,Michael Brown,Dispute,367713,29-03-22,CLOSED,
C00153,38,Jennifer Thomas,property,£167391,14-11-23,Open,Y
CASE154,94,James Davies,Corp,289842,03/24/2023,Complete,X
C00155,78,Lisa Johnson,IMMIGRATION,287145.00,2023-01-26,closed,
C00156,44,Daniel Hughes,CORP,GBP 471082,26/11/2023,OPEN,N/A
C00157,109,Patricia White,Wills,7386.00,2022-09-17,Active,
C00158,160,Susan Robinson,Contract,GBP 224308,01/11/2022,OPEN,Y
C00159,130,Daniel Hughes,PROPERTY,231308.00,29/01/2023,C,N/A
C00160,70,Daniel Hughes,Comm,GBP 281526,12-09-21,pending,Y
C00161,26,Andrew Roberts,IP,GBP 205068,2023-08-18,Done,
C00162,150,Lisa Johnson,CONTRACT,242440.00,2021-12-30,Closed,Y
C00163,23,Richard Evans,property,GBP 161656,06-03-22,closed,X
CASE164,198,Patricia White,IP,GBP 186060,12/03/2023,Ongoing,N/A
CASE165,6,Daniel Hughes,Corp,115.93K,30-05-23,pending,N/A
C00166,24,Jennifer Thomas,Dispute,GBP 164075,2023-02-16,Active,X
C00167,85,Michael Brown,Immigration,329780,15/02/2022,Closed,N/A
C00168,122,Sarah Jones,Family,GBP 208306,13-02-23,Complete,
CASE169,173,Susan Robinson,Will,£32401,07/30/2022,Open,X
C00170,162,Karen Edwards,ip,GBP 420106,02/24/2022,pending,X
C00171,112,David Taylor,Dispute,343946.00,06/14/2022,On Hold,
C00172,145,Charles Thompson,IP,75.363K,07/04/2021,closed,N/A
C00173,45,Charles Thompson,EMPLOYMENT,247181,01-01-21,closed,N/A
C00174,149,Charles Thompson,Empl,135819.00,23-05-22,Closed,
C00175,173,Charles Thompson,family,137.632K,07/03/2022,closed,N/A
CASE176,162,Richard Evans,ip,20147,11/14/2022,closed,X
C00177,195,David Taylor,IP,425958.00,16-12-22,IP,N/A
CASE178,194,Susan Robinson,Empl,42164,13-04-23,On Hold,
C00179,56,Emma Wilson,Corp,284233,24-09-23,Ongoing,N/A
C00180,93,Charles Thompson,Fami,74.608K,2021-04-23,P,
C00181,27,Richard Evans,Employment,427.595K,09/14/2021,OPEN,X
C00182,11,Andrew Roberts,Will,365694,18/07/2021,closed,N/A
C00183,102,Lisa Johnson,IP,GBP 10414,31-05-21,C,Y
C00184,2,Jennifer Thomas,commercial,GBP 149637,2023-11-27,On Hold,Y
C00185,170,David Taylor,Immigration,£426893,04/28/2022,P,Y
C00186,120,Michael Brown,wills,143433,2022-08-17,Open,
C00187,189,Robert Smith,Prop,£391178,07/15/2021,P,
C00188,96,Susan Robinson,Prop,31175.00,21-02-22,Active,
C00189,88,Robert Smith,Disp,234.196K,2023-05-16,Active,Y
C00190,105,Jennifer Thomas,Prop,70.128K,07/11/2023,P,Y
C00191,65,Robert Smith,WILLS,448287.00,16-11-23,Active,
C00192,179,Robert Smith,Family,GBP 47320,10/02/2022,Pending,X
C00193,71,David Taylor,Disp,90773,2023-08-10,P,
C00194,66,Patricia White,family,335800,04/25/2021,In Progress,X
CASE195,57,Patricia White,Corp,284.949K,15-02-21,OPEN,
C00196,131,Daniel Hughes,immigration,£397632,21/12/2023,OPEN,
C00197,85,James Davies,property,149.601K,09/27/2023,Finished,
C00198,120,Lisa Johnson,Cont,36807.00,12/30/2022,open,
CASE199,7,Patricia White,wills,46.292K,2021-08-04,P,X
C00200,117,Karen Edwards,Dispute,217035,19-06-23,OPEN,
C00201,180,Sarah Jones,Contract,395931.00,10/04/2021,IP,Y
C00202,67,Susan Robinson,commercial,436.434K,18-05-23,Ongoing,
C00203,89,Sarah Jones,conveyancing,469.056K,08-09-21,Closed,N/A
C00204,74,David Taylor,IP,452198.00,01/23/2023,Closed,Y
C00205,169,Michael Brown,Employment,12161.00,2022-11-06,Done,Y
C00206,53,Patricia White,Family,GBP 407078,26/10/2023,CLOSED,
C00207,190,James Davies,WILLS,192234.00,02/22/2023,IP,N/A
CASE208,23,Andrew Roberts,Contract,222.64K,05/09/2022,Active,
C00209,71,Andrew Roberts,Corp,321.116K,03/08/2023,open,
C00210,91,Richard Evans,EMPLOYMENT,155007,2021-08-19,CLOSED,N/A
C00211,193,Robert Smith,Cont,28308,20/07/2021,Complete,X
C00212,48,Robert Smith,Immi,425.966K,10/22/2023,pending,X
C00213,194,Emma Wilson,corp,433520,2021-11-02,Open,
CASE214,49,Michael Brown,IP,£483179,28/01/2022,Pending,
C00215,68,Robert Smith,Will,16.091K,26-10-22,Active,
C00216,163,Jennifer Thomas,immigration,£417876,07/04/2021,Pending,N/A
C00217,15,Robert Smith,Immigration,GBP 65150,14-09-23,OPEN,X
CASE218,154,Andrew Roberts,Empl,26194,22-09-21,Open,N/A
C00219,32,Jennifer Thomas,property,397.879K,08/08/2022,Closed,
CASE220,166,Emma Wilson,FAMILY,GBP 242316,20/04/2022,IP,N/A
C00221,34,Sarah Jones,Prop,£288406,18/08/2023,open,
C00222,23,Patricia White,family,197757,07-11-22,P,
C00223,119,Jennifer Thomas,COMMERCIAL,170657.00,2023-01-19,Ongoing,
CASE224,11,Karen Edwards,Immi,469.139K,13/06/2022,Paused,Y
C00225,21,Patricia White,WILLS,140.192K,03/22/2023,Active,
C00226,98,Lisa Johnson,Cont,72.185K,02-02-21,Paused,N/A
C00227,87,Richard Evans,Conveyancing,GBP 436266,07/09/2023,Active,X
C00228,143,Charles Thompson,CORP,133.648K,10/26/2021,C,X
C00229,68,James Davies,Wills,£419318,04/09/2021,Ongoing,
C00230,104,Susan Robinson,Fami,£272366,02/04/2021,closed,N/A
CASE231,182,Michael Brown,IMMIGRATION,£145157,2021-10-09,Paused,N/A
C00232,182,Emma Wilson,EMPLOYMENT,490147,18/02/2021,OPEN,
C00233,83,Patricia White,FAMILY,450.831K,22/10/2021,closed,X
C00234,99,Daniel Hughes,LITIGATION,GBP 14030,21/05/2022,Pending,N/A
C00235,109,James Davies,COMMERCIAL,321637.00,11/03/2022,Complete,Y
C00236,121,James Davies,conveyancing,133887.00,04/08/2022,P,X
C00237,180,Robert Smith,PROPERTY,51243,2021-08-08,Open,
C00238,176,Charles Thompson,EMPLOYMENT,159298.00,01-11-21,C,
C00239,178,Susan Robinson,IP,460187,10/23/2022,P,N/A
CASE240,172,David Taylor,Empl,GBP 35446,08-09-22,In Progress,Y
C00241,113,Andrew Roberts,Immi,£99284,2021-01-07,open,Y
C00242,177,Andrew Roberts,Empl,76831.00,2022-01-30,P,Y
CASE243,110,Richard Evans,COMMERCIAL,£264933,15/07/2022,Closed,
C00244,92,Lisa Johnson,Wills,GBP 393992,28-10-22,pending,N/A
C00245,161,Jennifer Thomas,DISPUTE,117.453K,23/03/2023,Complete,X
C00246,91,Daniel Hughes,ip,GBP 326100,06/29/2022,C,N/A
C00247,17,Daniel Hughes,Litigation,21804.00,2022-03-03,Pending,
C00248,154,Emma Wilson,Prop,GBP 223158,11/12/2022,Paused,
C00249,124,Lisa Johnson,Contract,£331651,18-04-21,Pending,N/A
C00250,157,Jennifer Thomas,PROPERTY,GBP 237581,29/10/2022,Closed,N/A
C00251,57,Daniel Hughes,CONVEYANCING,£283914,08-04-23,OPEN,Y
CASE252,153,Charles Thompson,DISPUTE,53.287K,24/03/2021,In Progress,X
CASE253,61,Susan Robinson,PROPERTY,GBP 137131,10/02/2022,Open,N/A
C00254,50,Karen Edwards,PROPERTY,81.064K,2022-11-23,CLOSED,Y
CASE255,82,Sarah Jones,WILLS,377.001K,12/19/2021,CLOSED,N/A
C00256,88,Michael Brown,commercial,£458367,2022-10-13,Open,N/A
C00257,188,Jennifer Thomas,FAMILY,68.321K,23/10/2022,Complete,X
C00258,109,Patricia White,family,136471,12/07/2021,In Progress,Y
C00259,101,Sarah Jones,Commercial,334893.00,02/07/2023,Closed,X
C00260,75,Robert Smith,litigation,209644.00,24-06-23,closed,
C00261,41,Robert Smith,contract,£381856,12/06/2021,In Progress,
C00262,6,James Davies,Property,£128893,07/03/2023,Open,Y
C00263,154,Jennifer Thomas,IP,164.355K,06/09/2023,open,Y
C00264,55,James Davies,corp,496385.00,2021-11-21,CLOSED,
C00265,68,Michael Brown,Corp,£73035,2021-10-06,open,X
C00266,92,Andrew Roberts,IP,32053.00,02-05-22,Active,Y
C00267,154,Andrew Roberts,CONVEYANCING,56403.00,2021-02-11,CLOSED,X
C00268,137,Jennifer Thomas,Comm,GBP 327980,05/16/2023,Pending,
C00269,138,Michael Brown,Employment,£37012,03/10/2021,open,N/A
C00270,179,Jennifer Thomas,WILLS,397.939K,11/06/2022,Complete,Y
C00271,67,James Davies,Litigation,321.424K,2023-08-07,pending,Y
C00272,137,Karen Edwards,Corp,394.667K,02/25/2023,In Progress,N/A
C00273,2,Lisa Johnson,Commercial,360755,2023-01-14,Open,X
C00274,12,Jennifer Thomas,Dispute,£350612,03-05-23,Closed,
C00275,178,Emma Wilson,Employment,33483.00,2021-02-17,In Progress,Y
C00276,129,Lisa Johnson,IP,GBP 374444,31-08-21,Ongoing,Y
CASE277,116,Susan Robinson,contract,475.548K,2021-01-16,Complete,
C00278,185,James Davies,Fami,441641,2023-10-02,CLOSED,
C00279,37,Sarah Jones,FAMILY,GBP 220983,04/18/2023,pending,X
C00280,149,Emma Wilson,WILLS,449.053K,11/18/2023,Paused,N/A
C00281,103,Jennifer Thomas,property,£386634,2023-08-14,Open,
C00282,48,James Davies,Disp,£220423,2022-02-12,On Hold,X
C00283,65,Charles Thompson,EMPLOYMENT,102.228K,05/31/2021,Done,Y
C00284,94,Patricia White,Liti,352.717K,2021-06-19,Pending,Y
C00285,163,Charles Thompson,Conv,279649,2023-10-12,OPEN,X
C00286,181,Andrew Roberts,Fami,303267.00,04-08-22,closed,X
C00287,36,Karen Edwards,Wills,GBP 359537,2023-03-05,Complete,Y
C00288,47,Richard Evans,Corp,£297420,05/26/2023,C,
CASE289,172,Lisa Johnson,CONTRACT,£54340,11/30/2022,P,X
C00290,34,Michael Brown,DISPUTE,52028.00,22/07/2022,Finished,Y
C00291,187,James Davies,conveyancing,388038.00,29-11-22,Done,N/A
C00292,189,Karen Edwards,Prop,270733,12/09/2022,In Progress,N/A
C00293,87,Patricia White,family,£109991,10/15/2022,Done,X
C00294,161,Robert Smith,property,280763,05/19/2022,Paused,X
C00295,30,Robert Smith,Corp,GBP 371701,01/16/2022,closed,
C00296,114,Robert Smith,litigation,20.783K,01/22/2023,Open,
C00297,135,Daniel Hughes,CORP,427684.00,2022-11-15,Active,
C00298,103,Charles Thompson,Family,£91244,02/09/2021,Closed,X
CASE299,21,Andrew Roberts,wills,15978.00,2022-08-25,Pending,Y
C00300,25,Daniel Hughes,LITIGATION,79559,22/03/2022,Done,Y
C00301,27,Patricia White,conveyancing,200.996K,25/05/2021,Pending,Y
C00302,126,Charles Thompson,Fami,229.388K,2022-10-08,Closed,
C00303,93,Michael Brown,commercial,£58654,2022-04-22,Paused,Y
C00304,6,Lisa Johnson,employment,325.659K,2022-07-28,Closed,
C00305,199,Jennifer Thomas,ip,GBP 140617,18-07-23,OPEN,N/A
C00306,154,Emma Wilson,conveyancing,GBP 166522,2023-04-14,open,
C00307,46,Lisa Johnson,Empl,277607,12-09-22,closed,Y
C00308,71,Michael Brown,IP,188.278K,16/02/2021,Complete,X
C00309,97,Lisa Johnson,PROPERTY,£91003,2021-01-24,open,
C00310,122,Robert Smith,wills,442026.00,02/07/2021,On Hold,
C00311,128,Andrew Roberts,Contract,GBP 191203,09/28/2021,Paused,
C00312,161,Charles Thompson,Wills,411.111K,2021-12-24,On Hold,X
C00313,173,Michael Brown,Empl,120.55K,09/13/2023,CLOSED,N/A
C00314,53,David Taylor,COMMERCIAL,130.347K,03/20/2022,Ongoing,Y
C00315,187,James Davies,CONVEYANCING,347317,01/14/2021,On Hold,N/A
C00316,125,Patricia White,Property,330025,2021-07-05,pending,
C00317,100,Andrew Roberts,Comm,325.519K,04/12/2021,CLOSED,N/A
C00318,149,Patricia White,LITIGATION,£416993,19-03-21,C,Y
C00319,101,Karen Edwards,COMMERCIAL,262.69K,05/11/2021,Open,N/A
C00320,196,Jennifer Thomas,FAMILY,252691.00,02-02-22,Active,X
C00321,99,Lisa Johnson,IP,£275483,28-11-22,Complete,
C00322,18,Andrew Roberts,IP,366.79K,06-10-21,Pending,X
C00323,126,Lisa Johnson,WILLS,277031,01/15/2023,On Hold,X
C00324,96,Emma Wilson,Immi,179195,2023-12-20,Closed,N/A
C00325,143,Charles Thompson,CORP,GBP 91221,07/11/2023,Complete,X
C00326,162,Charles Thompson,property,9050.00,05/23/2021,pending,X
C00327,97,Michael Brown,Dispute,81.369K,10/10/2021,closed,
C00328,55,Robert Smith,wills,273.953K,2023-04-13,CLOSED,N/A
C00329,189,Lisa Johnson,Corp,414.232K,10/13/2021,On Hold,Y
C00330,169,Robert Smith,PROPERTY,454018,23-11-23,Finished,N/A
C00331,49,David Taylor,immigration,£106304,2023-10-10,Active,X
C00332,146,Daniel Hughes,IP,259447,11/25/2022,Open,
C00333,192,Charles Thompson,wills,484391,03-12-23,Pending,N/A
C00334,126,Patricia White,IP,450311.00,27/12/2021,Paused,Y
C00335,194,Robert Smith,Corp,GBP 35866,27/12/2023,Done,Y
C00336,40,Lisa Johnson,Comm,325037.00,15-09-22,OPEN,Y
C00337,15,Karen Edwards,dispute,GBP 403139,04/04/2021,Paused,
C00338,136,Robert Smith,Litigation,132920,2021-07-14,Ongoing,N/A
C00339,123,Jennifer Thomas,Dispute,GBP 12571,23-02-22,pending,Y
C00340,185,Patricia White,LITIGATION,£180053,11/20/2022,IP,Y
C00341,84,David Taylor,Conv,GBP 160520,18-10-21,CLOSED,Y
C00342,183,Patricia White,Will,195663.00,11/16/2023,Pending,
CASE343,43,Patricia White,Immi,222161.00,02/04/2023,Finished,Y
C00344,67,James Davies,CORP,415150,03/10/2021,pending,N/A
C00345,92,Michael Brown,Dispute,GBP 416974,05/12/2023,P,Y
C00346,83,Charles Thompson,Property,9931.00,2023-07-23,OPEN,N/A
C00347,68,Lisa Johnson,PROPERTY,485.447K,03/15/2023,C,X
C00348,87,James Davies,Will,£447592,12/09/2023,closed,X
C00349,180,Andrew Roberts,corp,GBP 186003,2022-04-25,Open,N/A
C00350,100,Michael Brown,COMMERCIAL,412695,30/05/2022,open,
C00351,121,Patricia White,Dispute,293610.00,01/21/2023,Finished,N/A
C00352,3,Daniel Hughes,litigation,GBP 484438,10-09-23,Open,N/A
C00353,150,David Taylor,Fami,48499,04/07/2023,closed,Y
C00354,124,Daniel Hughes,Will,£126366,2023-09-12,C,N/A
C00355,4,Michael Brown,Cont,GBP 389581,06/14/2022,Complete,X
C00356,104,Emma Wilson,Employment,£181960,2022-01-05,Paused,X
C00357,53,David Taylor,EMPLOYMENT,£14469,2022-09-05,pending,X
C00358,41,James Davies,Comm,GBP 334448,12/27/2023,Active,N/A
C00359,196,James Davies,litigation,£474813,2023-04-26,Complete,Y
C00360,172,Michael Brown,FAMILY,GBP 494703,01/26/2023,Active,X
C00361,125,Robert Smith,immigration,£331354,16-02-21,C,X
C00362,91,Susan Robinson,Dispute,GBP 189971,13-05-23,Finished,N/A
C00363,135,James Davies,Comm,410821.00,01-09-22,C,X
C00364,187,Susan Robinson,WILLS,£253075,02/09/2021,Closed,
C00365,139,Michael Brown,Property,58431.00,11/13/2021,pending,
C00366,171,Sarah Jones,CONTRACT,338.078K,18/04/2022,P,X
C00367,139,Jennifer Thomas,dispute,GBP 341052,2022-10-05,Finished,X
C00368,55,Karen Edwards,Immi,109345.00,06/02/2021,Pending,Y
C00369,184,Lisa Johnson,FAMILY,7.822K,2021-04-06,Ongoing,N/A
C00370,69,Charles Thompson,EMPLOYMENT,£60135,2022-01-12,Open,N/A
C00371,14,Richard Evans,commercial,£471733,01-11-21,closed,N/A
CASE372,150,Jennifer Thomas,CONVEYANCING,130.999K,2023-07-30,Done,
C00373,9,Richard Evans,Disp,GBP 416483,07-12-23,C,
C00374,136,Sarah Jones,LITIGATION,29945.00,09-12-21,Active,X
C00375,160,Robert Smith,Will,495591,2023-02-15,Ongoing,Y
C00376,94,Lisa Johnson,CONVEYANCING,494686.00,17/04/2023,OPEN,X
C00377,20,James Davies,IMMIGRATION,356.977K,06-05-22,Ongoing,
C00378,124,Sarah Jones,family,164.22K,06/12/2023,open,Y
CASE379,24,Sarah Jones,wills,377613.00,2022-08-28,C,
C00380,74,Patricia White,Litigation,123448,2023-09-05,IP,N/A
C00381,157,Charles Thompson,Comm,494855,08/02/2022,pending,Y
C00382,47,Emma Wilson,ip,GBP 219722,2021-12-23,Pending,N/A
C00383,186,Lisa Johnson,COMMERCIAL,241820,08/31/2021,Complete,N/A
C00384,111,Patricia White,Will,444366,06-01-21,IP,X
C00385,146,Patricia White,Litigation,68.658K,18/03/2021,open,Y
