case_id,customer_id,solicitor_name,case_type,case_status,case_value_gbp,total_timesheet_amount_gbp,total_expense_amount_gbp,total_invoice_amount_gbp,total_payment_amount_gbp,total_hours_billed,outstanding_amount_gbp,payment_risk_band
CASE0050,19,Richard Evans,Commercial,Pending,64751.0,17342.0,0.0,17342.0,0.0,38.0,17342.0,Low
CASE0051,96,Lisa Johnson,General,Closed,215759.0,19854.0,0.0,19854.0,26786.0,15.9,0.0,Low
CASE0052,65,Sarah Jones,Conveyancing,Open,317411.0,0.0,0.0,40649.0,0.0,0.0,40649.0,Medium
CASE0053,169,Andrew Roberts,Property Law,Open,113994.0,0.0,0.0,36141.0,43748.0,0.0,0.0,Low
CASE0054,43,Karen Edwards,Conveyancing,Pending,184176.0,0.0,30079.0,30079.0,0.0,0.0,30079.0,Medium
CASE0055,163,Richard Evans,Litigation,Pending,408365.0,0.0,0.0,0.0,47849.0,0.0,0.0,Low
CASE0056,44,Patricia White,Intellectual Property,Open,384071.0,28347.0,0.0,28347.0,0.0,42.7,28347.0,Medium
CASE0057,120,Charles Thompson,Dispute Resolution,Open,13041.0,0.0,0.0,47669.0,0.0,0.0,47669.0,Medium
CASE0058,121,Patricia White,Intellectual Property,Open,224306.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0059,7,David Taylor,Property Law,Open,38848.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0060,170,Lisa Johnson,General,Open,249085.0,0.0,0.0,31655.0,0.0,0.0,31655.0,Medium
CASE0061,49,Susan Robinson,Family Law,Pending,302901.0,14851.0,0.0,14851.0,0.0,37.2,14851.0,Low
CASE0062,127,Jennifer Thomas,Intellectual Property,Closed,440290.0,0.0,27439.0,27439.0,0.0,0.0,27439.0,Medium
CASE0063,167,Emma Wilson,Corporate,Pending,17196.0,0.0,0.0,0.0,16793.0,0.0,0.0,Low
CASE0064,6,Robert Smith,Corporate,Pending,414755.0,33702.0,0.0,33702.0,0.0,25.9,33702.0,Medium
CASE0065,165,Susan Robinson,General,Open,499331.0,38978.0,0.0,29445.0,0.0,16.1,29445.0,Medium
CASE0066,7,Lisa Johnson,Corporate,Pending,272133.0,9871.0,0.0,9871.0,0.0,28.8,9871.0,Low
CASE0067,66,Charles Thompson,Contract Law,Open,109367.0,0.0,16875.0,38817.0,27168.0,0.0,11649.0,Low
CASE0068,171,James Davies,Intellectual Property,Closed,412895.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0069,105,Lisa Johnson,Family Law,Closed,343367.0,0.0,0.0,0.0,17023.0,0.0,0.0,Low
CASE0070,114,Jennifer Thomas,Dispute Resolution,Open,114986.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0071,63,Andrew Roberts,Employment,Closed,120209.0,0.0,0.0,77768.0,0.0,0.0,77768.0,Medium
CASE0072,142,David Taylor,Conveyancing,Open,429166.0,0.0,41986.0,41986.0,37043.0,0.0,4943.0,Low
CASE0073,153,Karen Edwards,Family Law,Closed,328840.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0074,80,Michael Brown,Dispute Resolution,Closed,178232.0,0.0,85783.0,85783.0,0.0,0.0,85783.0,Medium
CASE0075,39,Charles Thompson,Family Law,Closed,193869.0,0.0,0.0,0.0,30292.0,0.0,0.0,Low
CASE0076,46,James Davies,Property Law,Open,164282.0,0.0,0.0,37271.0,0.0,0.0,37271.0,Medium
CASE0077,12,Susan Robinson,General,Open,213120.0,0.0,0.0,0.0,48213.0,0.0,0.0,Low
CASE0078,79,Patricia White,General,Pending,482656.0,40289.0,0.0,40289.0,0.0,0.0,40289.0,Medium
CASE0079,76,Susan Robinson,Conveyancing,Open,77605.0,24841.0,11760.0,39685.0,0.0,38.1,39685.0,Medium
CASE0080,95,Richard Evans,Intellectual Property,Open,75292.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0081,22,Richard Evans,Employment,Open,150414.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0082,72,David Taylor,General,Open,146716.0,14304.0,0.0,14304.0,0.0,14.6,14304.0,Low
CASE0083,132,Susan Robinson,Dispute Resolution,Pending,454401.0,2846.0,0.0,2846.0,22826.0,2.4,0.0,Low
CASE0084,88,Patricia White,General,Pending,217842.0,1949.0,0.0,3898.0,0.0,37.1,3898.0,Low
CASE0085,119,Jennifer Thomas,Corporate,Pending,375304.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0086,42,Susan Robinson,Contract Law,Open,203228.0,11874.0,0.0,11874.0,0.0,0.0,11874.0,Low
CASE0087,108,Karen Edwards,Wills & Probate,Open,75891.0,0.0,42703.0,42703.0,0.0,0.0,42703.0,Medium
CASE0088,22,Robert Smith,Employment,Closed,348523.0,0.0,0.0,0.0,6948.0,0.0,0.0,Low
CASE0089,66,Emma Wilson,Property Law,Open,179169.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0090,166,Robert Smith,Employment,Open,65410.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0091,41,Patricia White,Dispute Resolution,Open,173767.0,27386.0,43911.0,71297.0,0.0,30.1,71297.0,Medium
CASE0092,130,David Taylor,Conveyancing,Closed,90605.0,0.0,37313.0,43893.0,0.0,0.0,43893.0,Medium
CASE0093,124,Charles Thompson,Employment,Closed,52254.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0094,103,Sarah Jones,Intellectual Property,Pending,175411.0,44086.0,0.0,44086.0,0.0,14.9,44086.0,Medium
CASE0095,3,Charles Thompson,Commercial,Closed,142742.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0096,123,Emma Wilson,Family Law,Open,429019.0,0.0,38649.0,21073.0,0.0,0.0,21073.0,Low
CASE0097,124,Lisa Johnson,Immigration,Pending,305313.0,11732.0,0.0,20489.0,0.0,0.0,20489.0,Low
CASE0098,17,Patricia White,General,Pending,391456.0,62638.0,0.0,14069.0,0.0,56.0,14069.0,Low
CASE0099,134,Lisa Johnson,Commercial,Closed,252225.0,20512.0,12653.0,33165.0,15936.0,0.0,17229.0,Low
CASE0100,86,Andrew Roberts,Property Law,Closed,196508.0,0.0,0.0,13867.0,0.0,0.0,13867.0,Low
CASE0101,82,Lisa Johnson,Dispute Resolution,Open,280714.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0102,72,Charles Thompson,Litigation,Closed,349883.0,37860.0,12938.0,15815.0,3195.0,7.0,12620.0,Low
CASE0103,69,Sarah Jones,Employment,Open,103221.0,0.0,0.0,32849.0,0.0,0.0,32849.0,Medium
CASE0104,31,Lisa Johnson,Litigation,Closed,330279.0,33804.0,43037.0,76841.0,0.0,19.2,76841.0,Medium
CASE0105,39,Susan Robinson,Immigration,Pending,432970.0,12550.0,4812.0,17362.0,14232.0,26.5,3130.0,Low
CASE0106,51,Jennifer Thomas,Commercial,Open,90729.0,0.0,22092.0,22092.0,0.0,0.0,22092.0,Low
CASE0107,94,Karen Edwards,Immigration,Pending,445768.0,40032.0,0.0,40032.0,30028.0,35.9,10004.0,Low
CASE0108,50,Robert Smith,Corporate,Open,35696.0,58740.0,0.0,27366.0,0.0,29.4,27366.0,Medium
CASE0109,111,Robert Smith,General,Open,256565.0,88829.0,10394.0,99223.0,35065.0,25.1,64158.0,Medium
CASE0110,85,Lisa Johnson,Conveyancing,Pending,367033.0,22774.0,17252.0,9895.0,6632.0,0.0,3263.0,Low
CASE0111,4,Lisa Johnson,Employment,Closed,117021.0,0.0,44595.0,44595.0,48229.0,0.0,0.0,Low
CASE0112,122,Emma Wilson,Contract Law,Open,93836.0,0.0,95145.0,37327.0,885.0,0.0,36442.0,Medium
CASE0113,134,Lisa Johnson,Conveyancing,Open,484671.0,27644.0,0.0,27644.0,0.0,16.0,27644.0,Medium
CASE0114,1,Andrew Roberts,Employment,Closed,434921.0,33602.0,26376.0,12875.0,0.0,11.2,12875.0,Low
CASE0115,89,Michael Brown,Dispute Resolution,Closed,206088.0,44113.0,0.0,22171.0,32466.0,2.5,0.0,Low
CASE0116,87,Daniel Hughes,Wills & Probate,Pending,384454.0,16062.0,15797.0,785.0,0.0,23.2,785.0,Low
CASE0117,67,Michael Brown,Litigation,Pending,79697.0,17443.0,0.0,17443.0,0.0,14.9,17443.0,Low
CASE0118,104,Richard Evans,General,Open,355599.0,32756.0,4543.0,26611.0,0.0,39.0,26611.0,Medium
CASE0119,81,Jennifer Thomas,Conveyancing,Open,275374.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0120,89,Susan Robinson,Family Law,Open,229076.0,0.0,0.0,0.0,46506.0,0.0,0.0,Low
CASE0121,27,Daniel Hughes,Immigration,Closed,370989.0,0.0,0.0,36814.0,0.0,0.0,36814.0,Medium
CASE0122,139,Jennifer Thomas,General,Closed,337825.0,0.0,0.0,15203.0,50379.0,0.0,0.0,Low
CASE0123,57,Sarah Jones,Family Law,Open,261850.0,0.0,0.0,37031.0,21098.0,0.0,15933.0,Low
CASE0124,7,Daniel Hughes,Employment,Open,82250.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0125,33,Karen Edwards,Conveyancing,Pending,268677.0,0.0,67553.0,24808.0,19200.0,0.0,5608.0,Low
CASE0126,39,Emma Wilson,Wills & Probate,Open,423147.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0127,15,Charles Thompson,General,Closed,326653.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0128,115,Patricia White,Conveyancing,Pending,278822.0,40086.0,0.0,10734.0,0.0,32.6,10734.0,Low
CASE0129,73,Daniel Hughes,General,Pending,319249.0,0.0,0.0,17056.0,0.0,0.0,17056.0,Low
CASE0130,112,David Taylor,Family Law,Pending,255927.0,2174.0,27250.0,29424.0,0.0,0.0,29424.0,Medium
CASE0131,94,Robert Smith,Property Law,Pending,177041.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0132,2,David Taylor,General,Pending,95405.0,0.0,31577.0,10457.0,0.0,0.0,10457.0,Low
CASE0133,57,Lisa Johnson,Contract Law,Closed,408260.0,8586.0,0.0,15582.0,49132.0,9.1,0.0,Low
CASE0134,102,Michael Brown,Family Law,Pending,21457.0,44713.0,0.0,44713.0,0.0,25.9,44713.0,Medium
CASE0135,104,Andrew Roberts,General,Pending,331920.0,0.0,12625.0,12625.0,0.0,0.0,12625.0,Low
CASE0136,132,Susan Robinson,Wills & Probate,Pending,345438.0,0.0,0.0,0.0,29926.0,0.0,0.0,Low
CASE0137,163,Susan Robinson,Commercial,Closed,46075.0,20347.0,38257.0,58604.0,0.0,36.4,58604.0,Medium
CASE0138,65,Richard Evans,Commercial,Open,353000.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0139,122,Richard Evans,Conveyancing,Pending,116794.0,0.0,11610.0,11610.0,0.0,0.0,11610.0,Low
CASE0140,131,Daniel Hughes,Intellectual Property,Closed,65669.0,0.0,49305.0,49305.0,0.0,0.0,49305.0,Medium
CASE0141,20,Richard Evans,Immigration,Pending,159730.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0142,157,Karen Edwards,Litigation,Pending,348795.0,5634.0,0.0,5634.0,0.0,1.9,5634.0,Low
CASE0143,35,Emma Wilson,Litigation,Pending,433639.0,41210.0,0.0,41210.0,0.0,21.6,41210.0,Medium
CASE0144,140,Charles Thompson,Corporate,Open,101369.0,0.0,46481.0,46481.0,0.0,0.0,46481.0,Medium
CASE0145,117,Lisa Johnson,Corporate,Open,45152.0,87504.0,0.0,87504.0,32372.0,92.6,55132.0,Medium
CASE0146,56,Susan Robinson,Immigration,Pending,169194.0,0.0,0.0,20535.0,14178.0,0.0,6357.0,Low
CASE0147,67,Daniel Hughes,Employment,Pending,163209.0,0.0,1553.0,35467.0,106902.0,0.0,0.0,Low
CASE0148,128,Charles Thompson,Litigation,Pending,131684.0,0.0,0.0,33286.0,0.0,0.0,33286.0,Medium
CASE0149,162,Richard Evans,Family Law,Open,466349.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0150,36,Richard Evans,Intellectual Property,Open,201401.0,0.0,0.0,45587.0,32442.0,0.0,13145.0,Low
CASE0151,118,David Taylor,General,Open,18652.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0152,18,Michael Brown,Dispute Resolution,Closed,367713.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0153,38,Jennifer Thomas,Property Law,Open,167391.0,0.0,41748.0,3039.0,74254.0,0.0,0.0,Low
CASE0154,94,James Davies,Corporate,Closed,289842.0,0.0,0.0,0.0,10562.0,0.0,0.0,Low
CASE0155,78,Lisa Johnson,Immigration,Closed,287145.0,48333.0,0.0,38822.0,13111.0,24.9,25711.0,Medium
CASE0156,44,Daniel Hughes,Corporate,Open,471082.0,34496.0,32976.0,67472.0,0.0,20.8,67472.0,Medium
CASE0157,109,Patricia White,Wills & Probate,Open,7386.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0158,160,Susan Robinson,Contract Law,Open,224308.0,26106.0,2914.0,29020.0,0.0,14.1,29020.0,Medium
CASE0159,130,Daniel Hughes,Property Law,Closed,231308.0,33289.0,0.0,33289.0,0.0,35.3,33289.0,Medium
CASE0160,70,Daniel Hughes,Commercial,Pending,281526.0,25709.0,47198.0,38237.0,0.0,20.2,38237.0,Medium
CASE0161,26,Andrew Roberts,Intellectual Property,Closed,205068.0,0.0,34576.0,34576.0,0.0,0.0,34576.0,Medium
CASE0162,150,Lisa Johnson,Contract Law,Closed,242440.0,0.0,32188.0,32188.0,27199.0,0.0,4989.0,Low
CASE0163,23,Richard Evans,Property Law,Closed,161656.0,0.0,0.0,1233.0,0.0,0.0,1233.0,Low
CASE0164,70,Patricia White,Intellectual Property,Open,186060.0,37514.0,0.0,37514.0,0.0,37.5,37514.0,Medium
CASE0165,6,Daniel Hughes,Corporate,Pending,115930.0,42845.0,0.0,19795.0,34749.0,3.4,0.0,Low
CASE0166,24,Jennifer Thomas,Dispute Resolution,Open,164075.0,0.0,0.0,40640.0,11033.0,0.0,29607.0,Medium
CASE0167,85,Michael Brown,Immigration,Closed,329780.0,0.0,976.0,976.0,0.0,0.0,976.0,Low
CASE0168,122,Sarah Jones,Family Law,Closed,208306.0,0.0,0.0,26257.0,0.0,0.0,26257.0,Medium
CASE0169,14,Susan Robinson,General,Open,32401.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0170,162,Karen Edwards,Intellectual Property,Pending,420106.0,25626.0,0.0,32659.0,33466.0,48.7,0.0,Low
CASE0171,112,David Taylor,Dispute Resolution,Pending,343946.0,48641.0,0.0,48641.0,0.0,29.1,48641.0,Medium
CASE0172,145,Charles Thompson,Intellectual Property,Closed,75363.0,0.0,31575.0,44543.0,0.0,0.0,44543.0,Medium
CASE0173,45,Charles Thompson,Employment,Closed,247181.0,0.0,27090.0,27090.0,0.0,0.0,27090.0,Medium
CASE0174,149,Charles Thompson,Employment,Closed,135819.0,0.0,0.0,49380.0,0.0,0.0,49380.0,Medium
CASE0175,111,Charles Thompson,Family Law,Closed,137632.0,0.0,0.0,0.0,23465.0,0.0,0.0,Low
CASE0176,162,Richard Evans,Intellectual Property,Closed,20147.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0177,58,David Taylor,Intellectual Property,Open,425958.0,0.0,43978.0,43978.0,29059.0,0.0,14919.0,Low
CASE0178,57,Susan Robinson,Employment,Pending,42164.0,47389.0,0.0,47389.0,16920.0,4.9,30469.0,Medium
CASE0179,56,Emma Wilson,Corporate,Open,284233.0,0.0,14774.0,14774.0,0.0,0.0,14774.0,Low
CASE0180,93,Charles Thompson,General,Pending,74608.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0181,27,Richard Evans,Employment,Open,427595.0,49021.0,0.0,35225.0,0.0,12.9,35225.0,Medium
CASE0182,11,Andrew Roberts,General,Closed,365694.0,0.0,42984.0,42088.0,0.0,0.0,42088.0,Medium
CASE0183,102,Lisa Johnson,Intellectual Property,Closed,10414.0,0.0,0.0,0.0,1938.0,0.0,0.0,Low
CASE0184,2,Jennifer Thomas,Commercial,Pending,149637.0,0.0,32981.0,82446.0,0.0,0.0,82446.0,Medium
CASE0185,170,David Taylor,Immigration,Pending,426893.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0186,120,Michael Brown,Wills & Probate,Open,143433.0,0.0,28378.0,28378.0,0.0,0.0,28378.0,Medium
CASE0187,146,Robert Smith,General,Pending,391178.0,12180.0,23081.0,29289.0,0.0,29.2,29289.0,Medium
CASE0188,96,Susan Robinson,General,Open,31175.0,22937.0,0.0,45084.0,34536.0,30.5,10548.0,Low
CASE0189,88,Robert Smith,General,Open,234196.0,69114.0,0.0,24945.0,0.0,0.8,24945.0,Low
CASE0190,105,Jennifer Thomas,General,Pending,70128.0,0.0,30924.0,30924.0,0.0,0.0,30924.0,Medium
CASE0191,65,Robert Smith,Wills & Probate,Open,448287.0,0.0,21797.0,34370.0,0.0,0.0,34370.0,Medium
CASE0192,140,Robert Smith,Family Law,Pending,47320.0,3216.0,0.0,3216.0,0.0,6.0,3216.0,Low
CASE0193,71,David Taylor,General,Pending,90773.0,0.0,47537.0,47537.0,37246.0,0.0,10291.0,Low
CASE0194,66,Patricia White,Family Law,Open,335800.0,44237.0,0.0,25807.0,0.0,20.3,25807.0,Medium
CASE0195,57,Patricia White,Corporate,Open,284949.0,0.0,51223.0,51223.0,0.0,0.0,51223.0,Medium
CASE0196,131,Daniel Hughes,Immigration,Open,397632.0,0.0,0.0,49618.0,0.0,0.0,49618.0,Medium
CASE0197,85,James Davies,Property Law,Closed,149601.0,43498.0,1610.0,7619.0,37315.0,5.2,0.0,Low
CASE0198,120,Lisa Johnson,General,Open,36807.0,0.0,0.0,7961.0,0.0,0.0,7961.0,Low
CASE0199,7,Patricia White,Wills & Probate,Pending,46292.0,0.0,46491.0,46491.0,34863.0,0.0,11628.0,Low
CASE0200,117,Karen Edwards,Dispute Resolution,Open,217035.0,0.0,5549.0,5549.0,16043.0,0.0,0.0,Low
CASE0201,85,Sarah Jones,Contract Law,Open,395931.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0202,67,Susan Robinson,Commercial,Open,436434.0,0.0,0.0,72818.0,5149.0,0.0,67669.0,Medium
CASE0203,89,Sarah Jones,Conveyancing,Closed,469056.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0204,74,David Taylor,Intellectual Property,Closed,452198.0,48524.0,34385.0,82909.0,0.0,9.4,82909.0,Medium
CASE0205,169,Michael Brown,Employment,Closed,12161.0,17473.0,0.0,17473.0,9463.0,6.1,8010.0,Low
CASE0206,53,Patricia White,Family Law,Closed,407078.0,0.0,0.0,34370.0,45137.0,0.0,0.0,Low
CASE0207,101,James Davies,Wills & Probate,Open,192234.0,29883.0,0.0,6397.0,0.0,38.7,6397.0,Low
CASE0208,23,Andrew Roberts,Contract Law,Open,222640.0,26798.0,4055.0,6773.0,0.0,13.2,6773.0,Low
CASE0209,71,Andrew Roberts,Corporate,Open,321116.0,0.0,28539.0,81827.0,30663.0,0.0,51164.0,Medium
CASE0210,91,Richard Evans,Employment,Closed,155007.0,0.0,10651.0,10651.0,42534.0,0.0,0.0,Low
CASE0211,127,Robert Smith,General,Closed,28308.0,0.0,0.0,31738.0,47314.0,0.0,0.0,Low
CASE0212,48,Robert Smith,General,Pending,425966.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0213,94,Emma Wilson,Corporate,Open,433520.0,47335.0,0.0,28057.0,34935.0,3.6,0.0,Low
CASE0214,49,Michael Brown,Intellectual Property,Pending,483179.0,0.0,48112.0,48112.0,0.0,0.0,48112.0,Medium
CASE0215,68,Robert Smith,General,Open,16091.0,0.0,25806.0,25806.0,0.0,0.0,25806.0,Medium
CASE0216,163,Jennifer Thomas,Immigration,Pending,417876.0,0.0,33653.0,23238.0,0.0,0.0,23238.0,Low
CASE0217,15,Robert Smith,Immigration,Open,65150.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0218,154,Andrew Roberts,Employment,Open,26194.0,42231.0,0.0,13292.0,0.0,38.8,13292.0,Low
CASE0219,32,Jennifer Thomas,Property Law,Closed,397879.0,0.0,26568.0,26568.0,0.0,0.0,26568.0,Medium
CASE0220,166,Emma Wilson,Family Law,Open,242316.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0221,34,Sarah Jones,General,Open,288406.0,5970.0,28246.0,34216.0,0.0,4.9,34216.0,Medium
CASE0222,23,Patricia White,Family Law,Pending,197757.0,0.0,0.0,25111.0,0.0,0.0,25111.0,Medium
CASE0223,119,Jennifer Thomas,Commercial,Open,170657.0,0.0,0.0,26397.0,65939.0,0.0,0.0,Low
CASE0224,11,Karen Edwards,General,Pending,469139.0,0.0,42440.0,42440.0,0.0,0.0,42440.0,Medium
CASE0225,21,Patricia White,Wills & Probate,Open,140192.0,55511.0,0.0,4161.0,24857.0,47.0,0.0,Low
CASE0226,98,Lisa Johnson,General,Pending,72185.0,0.0,29846.0,9831.0,0.0,0.0,9831.0,Low
CASE0227,87,Richard Evans,Conveyancing,Open,436266.0,0.0,0.0,18593.0,0.0,0.0,18593.0,Low
CASE0228,143,Charles Thompson,Corporate,Closed,133648.0,0.0,0.0,4736.0,0.0,0.0,4736.0,Low
CASE0229,68,James Davies,Wills & Probate,Open,419318.0,12117.0,0.0,12117.0,4292.0,20.6,7825.0,Low
CASE0230,104,Susan Robinson,General,Closed,272366.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0231,150,Michael Brown,Immigration,Pending,145157.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
