tid,cid,typ,dt,amt,hrs,paystat,col8
T000036,C00312,E,08/09/2021,£4140,,Unknown,Y
T000037,CASE222,E,21-06-23,29.419K,,Paid,X
T000038,CASE97,Payment,2023-09-11,13794,,Paid,
T000039,C00478,Payment,05/28/2022,33342.00,,Paid,
T000040,C00389,Hours,09/15/2022,49572.00,,Complete,X
T000041,C00217,Receipt,19/02/2021,17.606K,,0,
T000042,C00259,PAY,22-10-21,2801,,Unpaid,Y
T000043,C00314,invoice,26-07-22,£16698,,Unknown,Y
T000044,C00024,Timesheet,05/11/2021,GBP 46449,36.5,Overdue,
T000045,C00278,invoice,2021-07-24,19463.00,,unpaid,Y
T000046,C00204,invoice,2022-05-25,4869,,Unknown,X
T000047,CASE191,Invoice,2022-11-13,9173,,0,Y
T000048,C00027,Expenses,22/05/2022,44693,,1,Y
T000049,CASE385,TIME,2023-04-13,25598,21.3,paid,X
T000050,CASE263,expense,2021-04-13,25866.00,,Pending,Y
T000051,C00240,EXP,15/03/2023,£2353,,P,Y
T000052,C00312,Invoice,03/28/2023,GBP 25244,,Complete,
T000053,C00017,timesheet,2023-01-23,24.674K,39.4,overdue,Y
T000054,CASE97,Bill,30-11-21,7392,,0,Y
T000055,C00461,P,2021-11-15,GBP 7802,,overdue,
T000056,C00232,P,29-09-23,11.547K,,N/A,
T000057,C00215,Timesheet,29/10/2021,GBP 25023,22.7,paid,
T000058,CASE450,Time,2021-09-01,GBP 1852,29.4,Unpaid,Y
TXN59,CASE175,invoice,11-12-22,43299,,overdue,X
T000060,CASE496,P,13/10/2022,15071.00,,,
T000061,C00405,payment,24-08-23,£9850,,Complete,X
T000062,C00339,Expenses,10/08/2021,GBP 35215,,Unpaid,
T000063,C00112,Timesheet,30-01-22,4613,26.5,1,Y
T000064,C00145,Receipt,10/05/2023,29889,,Unknown,X
T000065,C00102,invoice,10/19/2022,£38665,,P,Y
T000066,C00105,INV,2021-03-11,27.212K,,Paid,
T000067,CASE73,INV,18-08-22,42.741K,,paid,
T000068,C00431,I,05/30/2022,21.12K,,0,
T000069,C00375,expense,08/15/2021,26.586K,,,
T000070,CASE37,Payment,2021-02-18,23.919K,,Unpaid,X
T000071,C00419,I,2022-08-08,1768,,unpaid,Y
T000072,C00444,Timesheet,2021-05-17,GBP 22922,20.1,overdue,X
T000073,C00175,EXP,13/09/2023,20.232K,,Unpaid,Y
T000074,CASE153,Receipt,02/15/2021,38481,,Unknown,Y
T000075,C00352,Hours,2022-09-28,27392,,1,X
T000076,CASE436,Time,27-12-22,42212.00,18.7,Paid,X
T000077,C00108,PAY,08/24/2022,211,,Unknown,
T000078,C00220,Invoice,16-02-23,49.691K,,,Y
T000079,CASE336,Timesheet,05/08/2021,GBP 36606,24.2,,X
T000080,C00233,EXP,2023-01-02,43982,,U,Y
T000081,C00274,Bill,10/07/2022,23265.00,,Late,X
T000082,C00108,Receipt,2023-06-11,GBP 9014,,Complete,
TXN83,C00485,Receipt,03-05-23,24489.00,,Unknown,
T000084,CASE128,Expense,30-10-22,184,,U,Y
T000085,C00385,expense,16/09/2021,£18251,,1,Y
T000086,CASE216,TIME,29-08-22,£18360,32.8,0,
T000087,C00327,PAY,27/12/2022,27094,,Pending,Y
T000088,C00073,payment,2023-02-28,GBP 309,,O,
T000089,CASE335,timesheet,11/17/2021,17.035K,14.1,paid,
T000090,C00197,P,09-10-23,48.538K,,Pending,X
T000091,CASE380,payment,21/11/2022,£37405,,P,Y
T000092,C00241,expense,08/20/2023,12228.00,,Pending,
TXN93,C00021,Expense,09/10/2021,£13331,,1,X
T000094,C00435,Invoice,2022-09-22,36.171K,,Paid,Y
T000095,C00154,Expenses,21/11/2022,£42171,,paid,
TXN96,C00305,P,07-01-21,18269.00,,O,
T000097,C00260,I,2021-09-09,21593.00,,0,
TXN98,C00340,E,08-09-22,GBP 37984,,Paid,
T000099,CASE83,Expenses,2021-01-19,46.015K,,paid,Y
T000100,C00154,Bill,09/26/2022,24580,,paid,Y
T000101,C00178,expense,04/22/2022,45852,,paid,X
T000102,C00373,Bill,03/02/2021,14910.00,,N/A,X
T000103,C00034,Invoice,22-01-23,24981.00,,,X
T000104,CASE293,Expenses,03/12/2022,£32528,,Paid,
T000105,C00393,Receipt,2023-06-27,42.99K,,Late,X
T000106,C00341,Time,14/10/2021,12.487K,15.7,,X
T000107,C00153,E,05/02/2021,22550.00,,U,X
T000108,C00068,payment,05/09/2021,42808,,,Y
T000109,C00173,PAY,12/03/2023,39014.00,,Unknown,
TXN110,C00342,Bill,23/06/2021,£44356,,N/A,
T000111,CASE191,Invoice,13/05/2023,16.359K,,paid,
T000112,C00087,Expense,30-09-23,10.568K,,0,X
TXN113,C00178,Hours,2021-11-18,28172.00,,1,Y
T000114,C00098,invoice,08/10/2022,£46882,,overdue,X
T000115,C00314,expense,09/07/2022,£36693,,P,
T000116,C00325,Expenses,2023-02-15,£2209,,0,X
T000117,C00065,expense,2022-05-11,GBP 17445,,Pending,X
T000118,C00249,PAY,2021-11-01,GBP 3657,,0,Y
T000119,C00294,Time,06/11/2023,£16174,32.8,overdue,
T000120,C00226,timesheet,11/20/2023,£31957,11.9,P,Y
T000121,C00487,Time,06/08/2021,37.908K,12.7,paid,Y
T000122,C00384,Expenses,08-08-21,8040,,Complete,
T000123,C00496,Expense,19/12/2021,35765.00,,Paid,X
TXN124,C00234,E,2022-04-18,GBP 47789,,P,Y
TXN125,C00173,Expenses,09-04-21,11424.00,,0,X
T000126,C00025,timesheet,02/26/2022,49.875K,4.8,Late,Y
T000127,C00194,Bill,08-07-23,GBP 10659,,P,Y
T000128,C00494,P,17/02/2021,28005,,Late,Y
TXN129,C00290,expense,01/21/2021,£13448,,Complete,X
T000130,C00185,Timesheet,26/12/2022,14.84K,1.9,Paid,X
T000131,CASE400,INV,07/03/2023,3234,,overdue,Y
T000132,C00248,Timesheet,22-03-23,7001,13.1,O,X
T000133,C00310,Timesheet,2021-07-01,8930,21.3,1,Y
T000134,C00029,Hours,07/10/2023,GBP 9589,,U,X
T000135,C00045,INV,22-08-21,GBP 41823,,Complete,X
T000136,C00078,Receipt,04/19/2022,£43926,,,X
T000137,C00022,Payment,10/12/2022,7965,,1,Y
T000138,CASE193,Receipt,20-08-21,£2753,,1,
T000139,C00110,Hours,02/10/2023,35.094K,,unpaid,
T000140,CASE145,Hours,2022-12-05,24478.00,,O,
T000141,CASE105,Bill,01/31/2022,£1592,,P,X
T000142,CASE200,payment,21-03-21,9817,,Overdue,Y
T000143,C00013,Receipt,16/01/2021,17888,,N/A,Y
T000144,C00336,Hours,2021-01-14,£8456,,unpaid,Y
T000145,C00466,TIME,2021-05-03,GBP 45774,39.4,paid,
T000146,C00427,Receipt,28/10/2022,9376,,unpaid,
T000147,CASE282,Hours,04/07/2023,£48260,,paid,
T000148,C00416,INV,04-07-21,36919.00,,1,Y
T000149,C00209,Expenses,20-11-21,£1768,,unpaid,
T000150,C00045,E,2022-02-04,£9012,,U,X
T000151,C00426,timesheet,14-02-23,14362,9.4,Late,
T000152,C00035,Invoice,2022-04-28,GBP 42736,,Overdue,Y
T000153,C00095,Payment,29-08-23,40774.00,,Overdue,Y
T000154,C00292,Hours,28/03/2023,39320,,Complete,X
T000155,C00062,Expenses,2021-01-18,GBP 7530,,Overdue,
T000156,CASE149,Invoice,2021-11-15,32.413K,,Pending,
T000157,C00325,EXP,26/09/2023,GBP 39724,,Paid,
TXN158,CASE432,Payment,16/02/2023,36407,,P,
T000159,C00375,timesheet,11/06/2022,774.00,10.2,N/A,X
T000160,C00229,EXP,2021-10-17,£11875,,O,Y
T000161,CASE52,E,01/17/2021,31.65K,,P,Y
T000162,C00195,timesheet,02/09/2022,32880.00,18.9,paid,X
TXN163,C00322,TIME,18/01/2021,14522.00,3.3,paid,X
T000164,CASE439,Time,13/04/2022,19950.00,24.2,U,Y
T000165,C00473,Expenses,05/07/2022,GBP 39311,,Late,
T000166,CASE250,Receipt,09-11-21,5352.00,,,Y
T000167,C00314,Time,02/07/2022,39122.00,22.5,Complete,Y
T000168,C00373,EXP,13-03-21,22915.00,,N/A,
T000169,C00492,I,07/01/2022,43741.00,,Unpaid,
T000170,CASE1,Time,10/03/2023,1155,13.0,Overdue,Y
T000171,CASE427,Bill,2022-11-15,36542.00,,Pending,Y
T000172,C00344,Timesheet,17-07-22,£18452,7.9,Complete,Y
T000173,C00457,PAY,25/01/2023,147,,Pending,
T000174,CASE74,EXP,14/02/2021,GBP 388,,Complete,
T000175,C00080,expense,24-10-23,11245.00,,1,
T000176,CASE403,Payment,28/10/2023,33798,,P,Y
T000177,CASE295,invoice,23/05/2023,48362,,Overdue,Y
T000178,CASE254,payment,2023-12-26,GBP 43385,,unpaid,Y
T000179,C00114,Hours,05/16/2022,266,,Pending,X
T000180,C00027,Time,2023-08-27,35687.00,22.0,unpaid,X
T000181,C00052,I,08/27/2021,9833.00,,U,Y
T000182,CASE215,Invoice,10-06-21,20417.00,,P,Y
T000183,C00453,I,05-04-22,GBP 34865,,unpaid,X
T000184,C00038,Payment,31/10/2023,GBP 44962,,unpaid,
T000185,CASE439,Receipt,2022-08-26,6176,,N/A,X
T000186,C00173,TIME,12/10/2022,47.728K,37.0,1,Y
T000187,C00170,timesheet,24/11/2023,32101.00,11.8,Unpaid,X
T000188,C00282,Bill,19-03-22,9662.00,,P,Y
T000189,CASE229,Invoice,2023-11-06,26642.00,,U,
T000190,C00070,payment,2022-09-22,£22997,,overdue,
T000191,C00145,Hours,03/16/2023,8782,,Late,Y
T000192,C00318,Invoice,2022-07-22,£31500,,U,Y
T000193,C00188,P,02-06-22,22255.00,,overdue,Y
T000194,C00226,PAY,05/29/2022,46854,,Late,Y
T000195,C00143,Time,01/05/2021,40.405K,16.2,0,
TXN196,C00262,EXP,12/19/2021,38418,,,
T000197,C00236,Time,18-06-21,GBP 6845,5.1,paid,X
T000198,CASE401,EXP,21-10-23,20.372K,,P,Y
T000199,C00091,P,10/22/2022,18660.00,,U,X
T000200,C00049,Invoice,20/10/2023,26122.00,,0,
T000201,C00195,E,02/07/2023,25783,,1,
T000202,C00338,Timesheet,2023-01-18,12.202K,19.4,Paid,X
T000203,C00057,Invoice,17-09-23,20739.00,,Paid,
T000204,C00016,Time,03-03-23,5876.00,10.3,,X
T000205,C00429,timesheet,29-10-22,14193,27.4,1,Y
T000206,CASE86,TIME,17/01/2023,34902.00,3.3,Overdue,Y
T000207,C00054,Expense,26-01-21,GBP 46946,,Late,X
T000208,C00207,E,04/19/2022,£1317,,Complete,X
TXN209,C00362,EXP,01-12-21,1418,,1,Y
TXN210,C00250,I,05-04-21,GBP 30409,,Complete,Y
T000211,C00345,Expenses,18-02-22,GBP 19259,,,
T000212,C00265,timesheet,10/12/2021,40872.00,5.8,paid,
T000213,C00377,payment,19-03-21,3630,,Unpaid,Y
T000214,C00167,Timesheet,12/21/2023,£1344,32.7,P,Y
T000215,C00282,Expense,23-03-22,£35937,,overdue,Y
T000216,C00440,invoice,20-04-23,10381,,overdue,Y
T000217,C00168,Invoice,20/07/2023,48.737K,,unpaid,
T000218,C00184,payment,20-06-22,37.339K,,unpaid,Y
T000219,C00099,Expenses,2022-11-24,£27483,,unpaid,X
T000220,C00384,Time,18-04-22,GBP 19644,14.9,1,
TXN221,CASE437,Payment,2022-03-08,40292,,Pending,Y
T000222,C00140,Hours,24-07-23,GBP 43891,,paid,X
TXN223,C00170,payment,28/04/2021,16764,,O,Y
T000224,CASE107,Receipt,2022-05-20,24388.00,,0,X
T000225,C00067,PAY,2022-12-22,4314.00,,unpaid,
T000226,C00016,INV,28-01-22,GBP 34379,,overdue,
T000227,C00203,I,04-05-22,32.059K,,U,Y
T000228,C00429,Expenses,2021-09-08,40392,,Paid,Y
T000229,C00304,Time,09-10-22,15013.00,9.0,1,Y
T000230,C00334,payment,15-08-22,GBP 2494,,P,X
T000231,CASE318,E,12/06/2023,22769,,P,X
T000232,C00432,Payment,11/14/2023,30556,,P,Y
T000233,C00301,Expense,05-12-23,13804.00,,Unknown,
T000234,C00103,INV,05-10-21,22853,,Overdue,Y
T000235,CASE76,E,03/07/2022,49065.00,,overdue,X
T000236,CASE314,INV,04-09-21,GBP 32819,,U,
T000237,C00500,Time,02/15/2021,24618.00,9.0,U,Y
T000238,C00328,payment,2023-10-06,30.074K,,Unknown,Y
T000239,C00158,Timesheet,22-01-21,£567,29.9,P,
T000240,C00297,P,01/21/2023,19461,,0,
T000241,C00347,Expense,05/20/2022,3451,,Unknown,Y
T000242,CASE444,INV,2021-10-18,6572,,Unpaid,
T000243,CASE211,E,02/22/2022,10390,,Unpaid,X
T000244,C00284,PAY,18/10/2022,£18514,,Overdue,
T000245,C00310,INV,19/02/2023,£22344,,Unpaid,
T000246,C00356,INV,02/01/2021,GBP 3395,,U,
T000247,C00288,PAY,25/07/2022,49476.00,,Unknown,X
T000248,C00327,I,08-07-22,£20228,,overdue,X
TXN249,C00473,I,06/01/2022,GBP 32463,,N/A,
T000250,C00349,Hours,23/05/2023,44192.00,,Unpaid,Y
T000251,C00021,TIME,07/28/2021,29.557K,9.7,paid,Y
T000252,C00406,Bill,17-04-22,£16326,,paid,Y
T000253,C00194,I,22/04/2022,£46234,,Complete,
T000254,CASE398,P,11/24/2023,35075,,unpaid,X
T000255,C00260,Bill,2021-03-19,GBP 9825,,O,
T000256,C00076,Hours,13/08/2021,43626,,P,Y
T000257,C00280,Expenses,2023-11-02,GBP 26803,,N/A,X
T000258,CASE123,timesheet,04-08-22,2615,27.5,0,Y
T000259,C00068,Receipt,2021-08-16,34.02K,,1,X
T000260,CASE3,PAY,12/01/2023,23195,,Late,X
T000261,CASE447,Invoice,05-07-22,34699,,,X
T000262,CASE383,Hours,2021-07-22,16153.00,,P,
T000263,C00344,PAY,22-06-23,4391.00,,paid,X
T000264,C00039,expense,04/22/2023,11969.00,,Overdue,X
T000265,C00168,Receipt,05/05/2022,£13414,,N/A,Y
T000266,C00431,EXP,2023-07-06,36.04K,,Paid,Y
T000267,CASE364,payment,27/10/2023,11.875K,,P,X
T000268,C00322,invoice,04/18/2023,£39351,,unpaid,X
T000269,C00133,INV,04/08/2021,39.555K,,1,Y
T000270,C00236,Hours,10/19/2023,14240,,O,Y
T000271,C00134,Receipt,27/05/2021,32181.00,,,X
TXN272,C00312,Expenses,2023-05-27,GBP 49882,,,X
T000273,C00050,Payment,04-05-22,33877.00,,unpaid,
T000274,C00047,Time,2021-10-15,28.736K,1.0,overdue,
TXN275,C00039,Time,2022-09-16,GBP 39644,12.7,,X
T000276,C00146,EXP,10/17/2022,GBP 6465,,P,X
T000277,C00331,PAY,05/03/2023,43522.00,,overdue,X
T000278,CASE273,Expense,03/06/2022,43164,,0,Y
T000279,C00461,Expense,08/01/2022,24.297K,,paid,Y
T000280,C00129,expense,05/08/2021,10401.00,,Pending,
T000281,CASE318,Bill,2023-04-17,37494,,overdue,X
T000282,C00161,timesheet,23/10/2021,21210.00,25.9,Complete,Y
T000283,C00452,Expenses,06/28/2023,25772.00,,Pending,
TXN284,C00356,expense,12/05/2023,29966.00,,P,X
T000285,C00033,Receipt,2022-12-12,21617,,overdue,
T000286,C00216,Bill,27/07/2021,38490,,Paid,X
T000287,CASE413,Time,25/05/2023,GBP 26374,35.2,Unpaid,X
T000288,CASE148,P,12/26/2023,29254.00,,unpaid,
T000289,CASE100,Payment,04/11/2021,17073,,N/A,Y
TXN290,C00298,E,10-05-22,34.416K,,overdue,
T000291,CASE208,invoice,08-10-21,£32563,,Complete,X
T000292,C00034,Receipt,15-10-21,45230.00,,Unknown,Y
T000293,CASE71,payment,2022-03-09,£44683,,overdue,Y
T000294,C00249,Expenses,02/11/2021,37553.00,,P,X
TXN295,C00169,P,2023-12-07,22.63K,,N/A,X
T000296,C00424,INV,28/05/2022,£24003,,U,Y
T000297,C00086,Invoice,26/09/2022,9777,,Overdue,Y
T000298,CASE500,expense,08/24/2022,GBP 35262,,P,
T000299,C00341,I,06-01-23,GBP 8996,,Pending,X
T000300,C00187,E,16-09-21,21679.00,,Unknown,Y
T000301,C00190,timesheet,11/20/2022,£3467,3.6,U,X
T000302,C00224,EXP,25-02-21,49684,,unpaid,
TXN303,C00478,Invoice,2021-07-27,24977.00,,0,
T000304,C00482,Invoice,02/07/2021,6066.00,,0,Y
T000305,C00244,payment,2023-01-23,33541.00,,U,
TXN306,CASE276,P,05/03/2022,7900,,O,X
T000307,C00216,Payment,04/08/2021,GBP 6878,,O,X
T000308,C00317,TIME,2021-07-28,GBP 47493,31.2,unpaid,
T000309,C00083,Receipt,07-01-23,38.378K,,Unknown,
T000310,C00119,E,2021-02-11,6711,,Unknown,X
T000311,C00381,E,27/10/2021,28.08K,,Unpaid,X
T000312,CASE247,EXP,2022-11-21,8651.00,,O,
T000313,C00270,timesheet,2023-04-15,49193,13.0,N/A,X
T000314,C00229,P,18-06-23,24630,,O,
T000315,C00045,Hours,2021-12-18,45714.00,,unpaid,X
T000316,C00136,P,2022-01-21,7368,,1,Y
T000317,C00443,Expense,10-04-22,26.152K,,Complete,X
T000318,C00062,Receipt,2022-02-18,GBP 42924,,Overdue,X
T000319,C00304,I,2023-02-07,13682.00,,,X
T000320,C00425,Payment,2024-01-01,14502,,1,X
T000321,C00077,Bill,23/06/2021,39.64K,,Late,
T000322,C00290,P,14/11/2021,5655.00,,O,Y
TXN323,C00169,timesheet,05/18/2023,GBP 15719,32.6,N/A,Y
T000324,C00091,INV,28-01-23,£23395,,,Y
T000325,C00092,P,2021-02-01,2775,,1,X
T000326,CASE436,Hours,2022-06-12,GBP 16620,,overdue,
T000327,C00062,E,12/24/2023,40625,,O,Y
T000328,C00006,Time,2021-04-13,GBP 33970,21.2,Pending,X
TXN329,C00254,TIME,02/24/2022,£28172,12.8,0,X
T000330,CASE32,timesheet,01-04-22,38770,29.0,Unknown,Y
TXN331,C00105,Expense,08/11/2022,13603.00,,overdue,X
T000332,C00415,Expense,10-04-22,30910,,Paid,X
T000333,C00490,payment,04-05-21,GBP 45188,,unpaid,
T000334,C00195,P,25-08-21,3431,,Unpaid,
TXN335,C00344,Bill,11-09-23,25973.00,,O,
T000336,C00364,Time,29/06/2021,GBP 24723,18.8,unpaid,X
T000337,C00274,timesheet,2023-06-21,5002,35.2,Unpaid,Y
T000338,C00206,invoice,11/04/2022,33040.00,,Overdue,X
T000339,C00456,Hours,01/04/2022,40943,,unpaid,X
T000340,C00131,timesheet,05/07/2021,47966.00,35.4,1,X
T000341,C00008,Timesheet,2021-12-09,39316,31.9,Complete,Y
T000342,C00104,expense,02/23/2021,GBP 33897,,Paid,Y
T000343,CASE96,Receipt,22/08/2021,870.00,,P,
T000344,C00059,Time,18/11/2023,18.414K,11.1,Late,X
T000345,C00107,INV,2022-05-05,31.426K,,unpaid,Y
T000346,C00140,I,2023-07-24,2344,,0,X
T000347,CASE243,payment,2022-01-29,1252,,0,Y
T000348,C00086,E,22-07-22,41236,,Unknown,
T000349,C00166,EXP,20/04/2023,GBP 28096,,1,
T000350,C00274,Timesheet,12/08/2021,£9820,24.2,overdue,X
TXN351,C00136,I,14-11-23,10960,,Paid,Y
T000352,C00217,INV,08/22/2021,£16144,,U,X
T000353,C00017,Expense,19/04/2021,3648.00,,Overdue,X
T000354,CASE435,I,22/08/2023,40021.00,,Unpaid,X
T000355,C00308,Timesheet,16-06-22,9442,34.9,overdue,X
T000356,C00487,Time,01-01-21,£48544,9.6,P,
T000357,C00047,PAY,11/11/2022,23.066K,,Late,X
T000358,C00192,TIME,2021-08-31,12564,13.6,,
T000359,C00276,P,08/09/2022,31589,,Overdue,X
T000360,CASE423,Invoice,2023-12-30,£16457,,U,
T000361,C00228,Invoice,12/25/2021,43251,,Unpaid,X
T000362,C00158,TIME,09/15/2021,22031,25.3,,X
T000363,CASE143,Timesheet,25-10-21,47515.00,28.4,overdue,
T000364,CASE423,Hours,09/22/2022,GBP 34578,,O,X
T000365,C00330,payment,2023-07-14,£14608,,0,
T000366,C00190,Expense,19/08/2021,636.00,,Pending,X
T000367,C00213,payment,2021-08-02,26344,,Paid,Y
T000368,C00176,Payment,16/09/2023,37575.00,,Overdue,X
TXN369,C00103,PAY,30-01-21,29.033K,,Late,
T000370,C00383,invoice,13/12/2023,43677.00,,Unpaid,Y
T000371,C00151,Bill,2021-12-18,20.623K,,N/A,X
T000372,C00243,expense,24/01/2022,£12954,,O,Y
TXN373,C00251,Receipt,04/04/2022,11566,,N/A,X
T000374,C00412,expense,07/25/2023,39813.00,,unpaid,X
T000375,C00256,Payment,01-12-23,24171,,O,
T000376,C00263,TIME,22/03/2021,40219.00,2.3,paid,Y
T000377,C00147,Hours,06/04/2022,48872.00,,0,Y
T000378,CASE67,Timesheet,19/01/2022,34709.00,30.7,Late,Y
T000379,C00218,Hours,2023-03-14,35.583K,,Unknown,Y
T000380,C00076,P,23-05-22,27131.00,,P,Y
T000381,CASE20,Time,03-10-23,30.713K,34.4,paid,Y
T000382,C00453,expense,2021-10-08,26469,,Paid,X
T000383,C00004,PAY,14-12-22,44.412K,,overdue,X
T000384,C00178,EXP,21-07-22,40140.00,,Complete,
T000385,CASE310,TIME,07/10/2021,3183,23.2,Pending,X
T000386,C00338,EXP,28/02/2022,253,,N/A,X
T000387,C00269,timesheet,23/04/2022,26128,34.0,Overdue,Y
T000388,C00337,Expense,07/12/2022,£30659,,unpaid,
T000389,C00475,PAY,16-04-23,£36920,,unpaid,
T000390,C00356,Invoice,29/09/2021,26074,,unpaid,X
T000391,C00190,P,15/12/2023,21059.00,,N/A,Y
T000392,C00418,Expenses,08/06/2021,GBP 33423,,Paid,
T000393,C00302,Expenses,23/07/2023,14718.00,,Pending,X
T000394,C00181,Payment,17/02/2023,GBP 48833,,Overdue,Y
T000395,CASE92,payment,12/08/2022,23.818K,,Overdue,X
T000396,C00456,payment,05-02-21,47.96K,,Pending,
T000397,C00283,I,2022-03-31,3721,,1,Y
T000398,C00143,Receipt,2022-11-01,GBP 33712,,unpaid,
T000399,C00188,Bill,08/24/2022,44759.00,,N/A,
T000400,C00282,TIME,2021-11-03,£39316,30.4,0,X
TXN401,C00361,I,2021-10-10,20890,,N/A,X
T000402,C00366,timesheet,11/21/2022,17607,25.1,Late,
T000403,CASE490,Invoice,16-05-21,£23285,,,
T000404,C00161,Expense,2021-07-29,512,,Paid,X
T000405,C00432,Expense,15-04-22,18896,,Complete,X
T000406,C00483,timesheet,15-01-23,30.617K,28.0,overdue,
T000407,C00480,EXP,2022-11-07,GBP 40697,,paid,X
T000408,C00032,TIME,03-03-22,19574,25.2,Overdue,Y
T000409,C00061,Time,2022-12-12,20.366K,34.0,Complete,X
T000410,C00078,Payment,06/05/2023,25.922K,,Paid,
T000411,CASE488,payment,2021-04-13,23994,,unpaid,Y
T000412,C00409,I,06/11/2023,37.856K,,overdue,
T000413,C00411,TIME,14/06/2022,5768,24.1,,X
TXN414,C00439,Expense,11/09/2021,43068,,U,Y
T000415,CASE190,Receipt,2022-05-14,GBP 39356,,Late,
T000416,C00205,Time,11/01/2022,15.137K,17.0,unpaid,Y
T000417,C00060,TIME,25/06/2021,23.733K,38.8,Paid,Y
T000418,C00034,invoice,2023-10-26,11.135K,,paid,X
T000419,CASE9,Bill,07/18/2023,42599.00,,O,Y
T000420,C00294,Invoice,03-01-21,GBP 21711,,O,Y
T000421,CASE359,EXP,2021-10-22,£35391,,Overdue,X
T000422,C00361,Invoice,01-06-22,34892.00,,1,Y
T000423,C00266,PAY,12/18/2021,6181,,O,
T000424,CASE105,expense,17-01-21,40487.00,,Paid,X
T000425,C00300,Expenses,07/25/2022,15179,,Unknown,X
T000426,C00232,invoice,2021-12-16,47130.00,,overdue,X
T000427,C00472,PAY,09-02-23,32123.00,,Paid,Y
T000428,C00170,TIME,02-01-23,GBP 36137,22.5,P,
T000429,C00328,Payment,14/02/2023,32189,,Late,
T000430,C00116,timesheet,02/04/2021,£4138,11.7,Paid,Y
T000431,C00480,E,21-09-23,GBP 24808,,Late,
T000432,C00203,Time,2021-07-25,38407,22.5,0,Y
T000433,CASE148,timesheet,2022-02-28,29132.00,3.8,1,Y
T000434,C00162,I,06-06-21,GBP 20499,,Unpaid,Y
T000435,C00031,Time,31/08/2021,£7776,1.0,overdue,
T000436,C00367,Invoice,2022-09-05,£48850,,Unpaid,
T000437,C00457,Time,13-03-22,GBP 11943,14.8,paid,X
T000438,C00232,Time,04-07-21,44100.00,28.2,N/A,Y
T000439,CASE451,Time,20/11/2023,19.375K,18.5,paid,Y
T000440,C00069,payment,2022-01-10,36961,,Complete,X
T000441,C00048,PAY,19-05-22,21944.00,,0,Y
T000442,CASE58,Expense,2023-05-21,GBP 42517,,Overdue,Y
T000443,C00434,invoice,23/07/2022,GBP 45368,,Complete,X
TXN444,C00403,Hours,31-07-21,36793.00,,Late,
TXN445,C00314,Bill,04-11-22,GBP 34522,,Complete,
T000446,C00407,Expenses,12/25/2023,14.264K,,,X
TXN447,C00262,INV,07-12-21,45841.00,,P,Y
TXN448,C00388,Receipt,17-12-22,GBP 47605,,Unknown,X
T000449,C00181,Timesheet,26/08/2023,£30162,10.6,1,Y
TXN450,CASE311,Expenses,02/08/2022,GBP 36021,,0,Y
T000451,C00459,P,10/31/2023,49253.00,,U,X
T000452,C00473,E,03-09-21,£14284,,1,Y
T000453,C00270,Expenses,24-12-21,47196.00,,Complete,X
T000454,C00247,Expense,08-07-22,49938.00,,Unknown,X
T000455,CASE470,timesheet,12/04/2021,GBP 11388,23.7,N/A,X
T000456,CASE55,Timesheet,2022-08-11,19358,7.7,O,
