transaction_id,case_id,transaction_type,transaction_date,amount_gbp,hours_worked,payment_status
TXN000032,CASE0233,Timesheet,06/10/2022,48644,9.2,Overdue
TXN000033,CASE0032,Timesheet,23/01/2022,31400,,Overdue
TXN000034,CASE0251,Expense,15/04/2021,24412,,Pending
TXN000035,CASE0103,Payment,07/12/2022,34264,,Paid
TXN000036,CASE0312,Other,08/09/2021,4140,,Pending
TXN000037,CASE0222,Other,21/06/2023,29419,,Paid
TXN000038,CASE0097,Payment,11/09/2023,13794,,Paid
TXN000039,CASE0478,Payment,28/05/2022,33342,,Paid
TXN000040,CASE0389,Timesheet,15/09/2022,49572,,Paid
TXN000041,CASE0217,Payment,19/02/2021,17606,,Unpaid
TXN000042,CASE0259,Payment,22/10/2021,2801,,Unpaid
TXN000043,CASE0314,Invoice,26/07/2022,16698,,Pending
TXN000044,CASE0024,Timesheet,05/11/2021,46449,36.5,Overdue
TXN000045,CASE0278,Invoice,24/07/2021,19463,,Unpaid
TXN000046,CASE0204,Invoice,25/05/2022,4869,,Pending
TXN000047,CASE0191,Invoice,13/11/2022,9173,,Unpaid
TXN000048,CASE0027,Expense,22/05/2022,44693,,Paid
TXN000049,CASE0385,Timesheet,13/04/2023,25598,21.3,Paid
TXN000050,CASE0263,Expense,13/04/2021,25866,,Unpaid
TXN000051,CASE0240,Expense,15/03/2023,2353,,Paid
TXN000052,CASE0312,Invoice,28/03/2023,25244,,Paid
TXN000053,CASE0017,Timesheet,23/01/2023,24674,39.4,Overdue
TXN000054,CASE0097,Invoice,30/11/2021,7392,,Unpaid
TXN000055,CASE0461,Other,15/11/2021,7802,,Overdue
TXN000056,CASE0232,Other,29/09/2023,11547,,Pending
TXN000057,CASE0215,Timesheet,29/10/2021,25023,22.7,Paid
TXN000058,CASE0450,Timesheet,01/09/2021,1852,29.4,Unpaid
TXN000059,CASE0175,Invoice,11/12/2022,43299,,Overdue
TXN000060,CASE0496,Other,13/10/2022,15071,,Pending
TXN000061,CASE0405,Payment,24/08/2023,9850,,Paid
TXN000062,CASE0339,Expense,10/08/2021,35215,,Unpaid
TXN000063,CASE0112,Timesheet,30/01/2022,4613,26.5,Paid
TXN000064,CASE0145,Payment,10/05/2023,29889,,Pending
TXN000065,CASE0102,Invoice,19/10/2022,38665,,Paid
TXN000066,CASE0105,Invoice,11/03/2021,27212,,Paid
TXN000067,CASE0073,Invoice,18/08/2022,42741,,Paid
TXN000068,CASE0431,Other,30/05/2022,21120,,Unpaid
TXN000069,CASE0375,Expense,15/08/2021,26586,,Pending
TXN000070,CASE0037,Payment,18/02/2021,23919,,Unpaid
TXN000071,CASE0419,Other,08/08/2022,1768,,Unpaid
TXN000072,CASE0444,Timesheet,17/05/2021,22922,20.1,Overdue
TXN000073,CASE0175,Expense,13/09/2023,20232,,Unpaid
TXN000074,CASE0153,Payment,15/02/2021,38481,,Pending
TXN000075,CASE0352,Timesheet,28/09/2022,27392,,Paid
TXN000076,CASE0436,Timesheet,27/12/2022,42212,18.7,Paid
TXN000077,CASE0108,Payment,24/08/2022,211,,Pending
TXN000078,CASE0220,Invoice,16/02/2023,49691,,Pending
TXN000079,CASE0336,Timesheet,05/08/2021,36606,24.2,Pending
TXN000080,CASE0233,Expense,02/01/2023,43982,,Unpaid
TXN000081,CASE0274,Invoice,10/07/2022,23265,,Overdue
TXN000082,CASE0108,Payment,11/06/2023,9014,,Paid
TXN000083,CASE0485,Payment,03/05/2023,24489,,Pending
TXN000084,CASE0128,Expense,30/10/2022,184,,Unpaid
TXN000085,CASE0385,Expense,16/09/2021,18251,,Paid
TXN000086,CASE0216,Timesheet,29/08/2022,18360,32.8,Unpaid
TXN000087,CASE0327,Payment,27/12/2022,27094,,Unpaid
TXN000088,CASE0073,Payment,28/02/2023,309,,Overdue
TXN000089,CASE0335,Timesheet,17/11/2021,17035,14.1,Paid
TXN000090,CASE0197,Other,09/10/2023,48538,,Unpaid
TXN000091,CASE0380,Payment,21/11/2022,37405,,Paid
TXN000092,CASE0241,Expense,20/08/2023,12228,,Unpaid
TXN000093,CASE0021,Expense,09/10/2021,13331,,Paid
TXN000094,CASE0435,Invoice,22/09/2022,36171,,Paid
TXN000095,CASE0154,Expense,21/11/2022,42171,,Paid
TXN000096,CASE0305,Other,07/01/2021,18269,,Overdue
TXN000097,CASE0260,Other,09/09/2021,21593,,Unpaid
TXN000098,CASE0340,Other,08/09/2022,37984,,Paid
TXN000099,CASE0083,Expense,19/01/2021,46015,,Paid
TXN000100,CASE0154,Invoice,26/09/2022,24580,,Paid
TXN000101,CASE0178,Expense,22/04/2022,45852,,Paid
TXN000102,CASE0373,Invoice,03/02/2021,14910,,Pending
TXN000103,CASE0034,Invoice,22/01/2023,24981,,Pending
TXN000104,CASE0293,Expense,03/12/2022,32528,,Paid
TXN000105,CASE0393,Payment,27/06/2023,42990,,Overdue
TXN000106,CASE0341,Timesheet,14/10/2021,12487,15.7,Pending
TXN000107,CASE0153,Other,05/02/2021,22550,,Unpaid
TXN000108,CASE0068,Payment,05/09/2021,42808,,Pending
TXN000109,CASE0173,Payment,12/03/2023,39014,,Pending
TXN000110,CASE0342,Invoice,23/06/2021,44356,,Pending
TXN000111,CASE0191,Invoice,13/05/2023,16359,,Paid
TXN000112,CASE0087,Expense,30/09/2023,10568,,Unpaid
TXN000113,CASE0178,Timesheet,18/11/2021,28172,,Paid
TXN000114,CASE0098,Invoice,08/10/2022,46882,,Overdue
TXN000115,CASE0314,Expense,09/07/2022,36693,,Paid
TXN000116,CASE0325,Expense,15/02/2023,2209,,Unpaid
TXN000117,CASE0065,Expense,11/05/2022,17445,,Unpaid
TXN000118,CASE0249,Payment,01/11/2021,3657,,Unpaid
TXN000119,CASE0294,Timesheet,06/11/2023,16174,32.8,Overdue
TXN000120,CASE0226,Timesheet,20/11/2023,31957,11.9,Paid
TXN000121,CASE0487,Timesheet,06/08/2021,37908,12.7,Paid
TXN000122,CASE0384,Expense,08/08/2021,8040,,Paid
TXN000123,CASE0496,Expense,19/12/2021,35765,,Paid
TXN000124,CASE0234,Other,18/04/2022,47789,,Paid
TXN000125,CASE0173,Expense,09/04/2021,11424,,Unpaid
TXN000126,CASE0025,Timesheet,26/02/2022,49875,4.8,Overdue
TXN000127,CASE0194,Invoice,08/07/2023,10659,,Paid
TXN000128,CASE0494,Other,17/02/2021,28005,,Overdue
TXN000129,CASE0290,Expense,21/01/2021,13448,,Paid
TXN000130,CASE0185,Timesheet,26/12/2022,14840,1.9,Paid
TXN000131,CASE0400,Invoice,07/03/2023,3234,,Overdue
TXN000132,CASE0248,Timesheet,22/03/2023,7001,13.1,Overdue
TXN000133,CASE0310,Timesheet,01/07/2021,8930,21.3,Paid
TXN000134,CASE0029,Timesheet,07/10/2023,9589,,Unpaid
TXN000135,CASE0045,Invoice,22/08/2021,41823,,Paid
TXN000136,CASE0078,Payment,19/04/2022,43926,,Pending
TXN000137,CASE0022,Payment,10/12/2022,7965,,Paid
TXN000138,CASE0193,Payment,20/08/2021,2753,,Paid
TXN000139,CASE0110,Timesheet,02/10/2023,35094,,Unpaid
TXN000140,CASE0145,Timesheet,05/12/2022,24478,,Overdue
TXN000141,CASE0105,Invoice,31/01/2022,1592,,Paid
TXN000142,CASE0200,Payment,21/03/2021,9817,,Overdue
TXN000143,CASE0013,Payment,16/01/2021,17888,,Pending
TXN000144,CASE0336,Timesheet,14/01/2021,8456,,Unpaid
TXN000145,CASE0466,Timesheet,03/05/2021,45774,39.4,Paid
TXN000146,CASE0427,Payment,28/10/2022,9376,,Unpaid
TXN000147,CASE0282,Timesheet,04/07/2023,48260,,Paid
TXN000148,CASE0416,Invoice,04/07/2021,36919,,Paid
TXN000149,CASE0209,Expense,20/11/2021,1768,,Unpaid
TXN000150,CASE0045,Other,04/02/2022,9012,,Unpaid
TXN000151,CASE0426,Timesheet,14/02/2023,14362,9.4,Overdue
TXN000152,CASE0035,Invoice,28/04/2022,42736,,Overdue
TXN000153,CASE0095,Payment,29/08/2023,40774,,Overdue
TXN000154,CASE0292,Timesheet,28/03/2023,39320,,Paid
TXN000155,CASE0062,Expense,18/01/2021,7530,,Overdue
TXN000156,CASE0149,Invoice,15/11/2021,32412,,Unpaid
TXN000157,CASE0325,Expense,26/09/2023,39724,,Paid
TXN000158,CASE0432,Payment,16/02/2023,36407,,Paid
TXN000159,CASE0375,Timesheet,11/06/2022,774,10.2,Pending
TXN000160,CASE0229,Expense,17/10/2021,11875,,Overdue
TXN000161,CASE0052,Other,17/01/2021,31650,,Paid
TXN000162,CASE0195,Timesheet,02/09/2022,32880,18.9,Paid
TXN000163,CASE0322,Timesheet,18/01/2021,14522,3.3,Paid
TXN000164,CASE0439,Timesheet,13/04/2022,19950,24.2,Unpaid
TXN000165,CASE0473,Expense,05/07/2022,39311,,Overdue
TXN000166,CASE0250,Payment,09/11/2021,5352,,Pending
TXN000167,CASE0314,Timesheet,02/07/2022,39122,22.5,Paid
TXN000168,CASE0373,Expense,13/03/2021,22915,,Pending
TXN000169,CASE0492,Other,07/01/2022,43741,,Unpaid
TXN000170,CASE0001,Timesheet,10/03/2023,1155,13.0,Overdue
TXN000171,CASE0427,Invoice,15/11/2022,36542,,Unpaid
TXN000172,CASE0344,Timesheet,17/07/2022,18452,7.9,Paid
TXN000173,CASE0457,Payment,25/01/2023,147,,Unpaid
TXN000174,CASE0074,Expense,14/02/2021,388,,Paid
TXN000175,CASE0080,Expense,24/10/2023,11245,,Paid
TXN000176,CASE0403,Payment,28/10/2023,33798,,Paid
TXN000177,CASE0295,Invoice,23/05/2023,48362,,Overdue
TXN000178,CASE0254,Payment,26/12/2023,43385,,Unpaid
TXN000179,CASE0114,Timesheet,16/05/2022,266,,Unpaid
TXN000180,CASE0027,Timesheet,27/08/2023,35687,22.0,Unpaid
TXN000181,CASE0052,Other,27/08/2021,9833,,Unpaid
TXN000182,CASE0215,Invoice,10/06/2021,20417,,Paid
TXN000183,CASE0453,Other,05/04/2022,34865,,Unpaid
TXN000184,CASE0038,Payment,31/10/2023,44962,,Unpaid
TXN000185,CASE0439,Payment,26/08/2022,6176,,Pending
TXN000186,CASE0173,Timesheet,12/10/2022,47728,37.0,Paid
TXN000187,CASE0170,Timesheet,24/11/2023,32101,11.8,Unpaid
TXN000188,CASE0282,Invoice,19/03/2022,9662,,Paid
TXN000189,CASE0229,Invoice,06/11/2023,26642,,Unpaid
TXN000190,CASE0070,Payment,22/09/2022,22997,,Overdue
TXN000191,CASE0145,Timesheet,16/03/2023,8782,,Overdue
TXN000192,CASE0318,Invoice,22/07/2022,31500,,Unpaid
TXN000193,CASE0188,Other,02/06/2022,22255,,Overdue
TXN000194,CASE0226,Payment,29/05/2022,46854,,Overdue
TXN000195,CASE0143,Timesheet,01/05/2021,40405,16.2,Unpaid
TXN000196,CASE0262,Expense,19/12/2021,38418,,Pending
TXN000197,CASE0236,Timesheet,18/06/2021,6845,5.1,Paid
TXN000198,CASE0401,Expense,21/10/2023,20372,,Paid
TXN000199,CASE0091,Other,22/10/2022,18660,,Unpaid
TXN000200,CASE0049,Invoice,20/10/2023,26122,,Unpaid
TXN000201,CASE0195,Other,02/07/2023,25783,,Paid
TXN000202,CASE0338,Timesheet,18/01/2023,12202,19.4,Paid
TXN000203,CASE0057,Invoice,17/09/2023,20739,,Paid
TXN000204,CASE0016,Timesheet,03/03/2023,5876,10.3,Pending
TXN000205,CASE0429,Timesheet,29/10/2022,14193,27.4,Paid
TXN000206,CASE0086,Timesheet,17/01/2023,34902,3.3,Overdue
TXN000207,CASE0054,Expense,26/01/2021,46946,,Overdue
TXN000208,CASE0207,Other,19/04/2022,1317,,Paid
TXN000209,CASE0362,Expense,01/12/2021,1418,,Paid
TXN000210,CASE0250,Other,05/04/2021,30409,,Paid
TXN000211,CASE0345,Expense,18/02/2022,19259,,Pending
TXN000212,CASE0265,Timesheet,10/12/2021,40872,5.8,Paid
TXN000213,CASE0377,Payment,19/03/2021,3630,,Unpaid
TXN000214,CASE0167,Timesheet,21/12/2023,1344,32.7,Paid
TXN000215,CASE0282,Expense,23/03/2022,35937,,Overdue
TXN000216,CASE0440,Invoice,20/04/2023,10381,,Overdue
TXN000217,CASE0168,Invoice,20/07/2023,48737,,Unpaid
TXN000218,CASE0184,Payment,20/06/2022,37339,,Unpaid
TXN000219,CASE0099,Expense,24/11/2022,27483,,Unpaid
TXN000220,CASE0384,Timesheet,18/04/2022,19644,14.9,Paid
TXN000221,CASE0437,Payment,08/03/2022,40292,,Unpaid
TXN000222,CASE0140,Timesheet,24/07/2023,43891,,Paid
TXN000223,CASE0170,Payment,28/04/2021,16764,,Overdue
TXN000224,CASE0107,Payment,20/05/2022,24388,,Unpaid
TXN000225,CASE0067,Payment,22/12/2022,4314,,Unpaid
TXN000226,CASE0016,Invoice,28/01/2022,34379,,Overdue
TXN000227,CASE0203,Other,04/05/2022,32058,,Unpaid
TXN000228,CASE0429,Expense,08/09/2021,40392,,Paid
TXN000229,CASE0304,Timesheet,09/10/2022,15013,9.0,Paid
TXN000230,CASE0334,Payment,15/08/2022,2494,,Paid
TXN000231,CASE0318,Other,12/06/2023,22769,,Paid
TXN000232,CASE0432,Payment,14/11/2023,30556,,Paid
TXN000233,CASE0301,Expense,05/12/2023,13804,,Pending
TXN000234,CASE0103,Invoice,05/10/2021,22853,,Overdue
TXN000235,CASE0076,Other,03/07/2022,49065,,Overdue
TXN000236,CASE0314,Invoice,04/09/2021,32819,,Unpaid
TXN000237,CASE0500,Timesheet,15/02/2021,24618,9.0,Unpaid
TXN000238,CASE0328,Payment,06/10/2023,30074,,Pending
TXN000239,CASE0158,Timesheet,22/01/2021,567,29.9,Paid
TXN000240,CASE0297,Other,21/01/2023,19461,,Unpaid
TXN000241,CASE0347,Expense,20/05/2022,3451,,Pending
TXN000242,CASE0444,Invoice,18/10/2021,6572,,Unpaid
TXN000243,CASE0211,Other,22/02/2022,10390,,Unpaid
TXN000244,CASE0284,Payment,18/10/2022,18514,,Overdue
TXN000245,CASE0310,Invoice,19/02/2023,22344,,Unpaid
TXN000246,CASE0356,Invoice,02/01/2021,3395,,Unpaid
TXN000247,CASE0288,Payment,25/07/2022,49476,,Pending
TXN000248,CASE0327,Other,08/07/2022,20228,,Overdue
TXN000249,CASE0473,Other,06/01/2022,32463,,Pending
TXN000250,CASE0349,Timesheet,23/05/2023,44192,,Unpaid
TXN000251,CASE0021,Timesheet,28/07/2021,29557,9.7,Paid
TXN000252,CASE0406,Invoice,17/04/2022,16326,,Paid
TXN000253,CASE0194,Other,22/04/2022,46234,,Paid
TXN000254,CASE0398,Other,24/11/2023,35075,,Unpaid
TXN000255,CASE0260,Invoice,19/03/2021,9825,,Overdue
TXN000256,CASE0076,Timesheet,13/08/2021,43626,,Paid
TXN000257,CASE0280,Expense,02/11/2023,26803,,Pending
TXN000258,CASE0123,Timesheet,04/08/2022,2615,27.5,Unpaid
TXN000259,CASE0068,Payment,16/08/2021,34020,,Paid
TXN000260,CASE0003,Payment,12/01/2023,23195,,Overdue
TXN000261,CASE0447,Invoice,05/07/2022,34699,,Pending
TXN000262,CASE0383,Timesheet,22/07/2021,16153,,Paid
TXN000263,CASE0344,Payment,22/06/2023,4391,,Paid
TXN000264,CASE0039,Expense,22/04/2023,11969,,Overdue
TXN000265,CASE0168,Payment,05/05/2022,13414,,Pending
TXN000266,CASE0431,Expense,06/07/2023,36040,,Paid
TXN000267,CASE0364,Payment,27/10/2023,11875,,Paid
TXN000268,CASE0322,Invoice,18/04/2023,39351,,Unpaid
TXN000269,CASE0133,Invoice,04/08/2021,39555,,Paid
TXN000270,CASE0236,Timesheet,19/10/2023,14240,,Overdue
TXN000271,CASE0134,Payment,27/05/2021,32181,,Pending
TXN000272,CASE0312,Expense,27/05/2023,49882,,Pending
TXN000273,CASE0050,Payment,04/05/2022,33877,,Unpaid
TXN000274,CASE0047,Timesheet,15/10/2021,28736,1.0,Overdue
TXN000275,CASE0039,Timesheet,16/09/2022,39644,12.7,Pending
TXN000276,CASE0146,Expense,17/10/2022,6465,,Paid
TXN000277,CASE0331,Payment,05/03/2023,43522,,Overdue
TXN000278,CASE0273,Expense,03/06/2022,43164,,Unpaid
TXN000279,CASE0461,Expense,08/01/2022,24297,,Paid
TXN000280,CASE0129,Expense,05/08/2021,10401,,Unpaid
TXN000281,CASE0318,Invoice,17/04/2023,37494,,Overdue
TXN000282,CASE0161,Timesheet,23/10/2021,21210,25.9,Paid
TXN000283,CASE0452,Expense,28/06/2023,25772,,Unpaid
TXN000284,CASE0356,Expense,12/05/2023,29966,,Paid
TXN000285,CASE0033,Payment,12/12/2022,21617,,Overdue
TXN000286,CASE0216,Invoice,27/07/2021,38490,,Paid
TXN000287,CASE0413,Timesheet,25/05/2023,26374,35.2,Unpaid
TXN000288,CASE0148,Other,26/12/2023,29254,,Unpaid
TXN000289,CASE0100,Payment,04/11/2021,17073,,Pending
TXN000290,CASE0298,Other,10/05/2022,34416,,Overdue
TXN000291,CASE0208,Invoice,08/10/2021,32563,,Paid
TXN000292,CASE0034,Payment,15/10/2021,45230,,Pending
TXN000293,CASE0071,Payment,09/03/2022,44683,,Overdue
TXN000294,CASE0249,Expense,02/11/2021,37553,,Paid
TXN000295,CASE0169,Other,07/12/2023,22630,,Pending
TXN000296,CASE0424,Invoice,28/05/2022,24003,,Unpaid
TXN000297,CASE0086,Invoice,26/09/2022,9777,,Overdue
TXN000298,CASE0500,Expense,24/08/2022,35262,,Paid
TXN000299,CASE0341,Other,06/01/2023,8996,,Unpaid
TXN000300,CASE0187,Other,16/09/2021,21679,,Pending
TXN000301,CASE0190,Timesheet,20/11/2022,3467,3.6,Unpaid
TXN000302,CASE0224,Expense,25/02/2021,49684,,Unpaid
TXN000303,CASE0478,Invoice,27/07/2021,24977,,Unpaid
TXN000304,CASE0482,Invoice,02/07/2021,6066,,Unpaid
TXN000305,CASE0244,Payment,23/01/2023,33541,,Unpaid
TXN000306,CASE0276,Other,05/03/2022,7900,,Overdue
TXN000307,CASE0216,Payment,04/08/2021,6878,,Overdue
TXN000308,CASE0317,Timesheet,28/07/2021,47493,31.2,Unpaid
TXN000309,CASE0083,Payment,07/01/2023,38378,,Pending
TXN000310,CASE0119,Other,11/02/2021,6711,,Pending
TXN000311,CASE0381,Other,27/10/2021,28080,,Unpaid
TXN000312,CASE0247,Expense,21/11/2022,8651,,Overdue
TXN000313,CASE0270,Timesheet,15/04/2023,49193,13.0,Pending
TXN000314,CASE0229,Other,18/06/2023,24630,,Overdue
TXN000315,CASE0045,Timesheet,18/12/2021,45714,,Unpaid
TXN000316,CASE0136,Other,21/01/2022,7368,,Paid
TXN000317,CASE0443,Expense,10/04/2022,26152,,Paid
TXN000318,CASE0062,Payment,18/02/2022,42924,,Overdue
TXN000319,CASE0304,Other,07/02/2023,13682,,Pending
TXN000320,CASE0425,Payment,01/01/2024,14502,,Paid
TXN000321,CASE0077,Invoice,23/06/2021,39640,,Overdue
TXN000322,CASE0290,Other,14/11/2021,5655,,Overdue
TXN000323,CASE0169,Timesheet,18/05/2023,15719,32.6,Pending
TXN000324,CASE0091,Invoice,28/01/2023,23395,,Pending
TXN000325,CASE0092,Other,01/02/2021,2775,,Paid
TXN000326,CASE0436,Timesheet,12/06/2022,16620,,Overdue
TXN000327,CASE0062,Other,24/12/2023,40625,,Overdue
TXN000328,CASE0006,Timesheet,13/04/2021,33970,21.2,Unpaid
TXN000329,CASE0254,Timesheet,24/02/2022,28172,12.8,Unpaid
TXN000330,CASE0032,Timesheet,01/04/2022,38770,29.0,Pending
TXN000331,CASE0105,Expense,08/11/2022,13603,,Overdue
TXN000332,CASE0415,Expense,10/04/2022,30910,,Paid
TXN000333,CASE0490,Payment,04/05/2021,45188,,Unpaid
TXN000334,CASE0195,Other,25/08/2021,3431,,Unpaid
TXN000335,CASE0344,Invoice,11/09/2023,25973,,Overdue
TXN000336,CASE0364,Timesheet,29/06/2021,24723,18.8,Unpaid
TXN000337,CASE0274,Timesheet,21/06/2023,5002,35.2,Unpaid
TXN000338,CASE0206,Invoice,11/04/2022,33040,,Overdue
TXN000339,CASE0456,Timesheet,01/04/2022,40943,,Unpaid
TXN000340,CASE0131,Timesheet,05/07/2021,47966,35.4,Paid
TXN000341,CASE0008,Timesheet,09/12/2021,39316,31.9,Paid
TXN000342,CASE0104,Expense,23/02/2021,33897,,Paid
TXN000343,CASE0096,Payment,22/08/2021,870,,Paid
TXN000344,CASE0059,Timesheet,18/11/2023,18414,11.1,Overdue
TXN000345,CASE0107,Invoice,05/05/2022,31426,,Unpaid
TXN000346,CASE0140,Other,24/07/2023,2344,,Unpaid
TXN000347,CASE0243,Payment,29/01/2022,1252,,Unpaid
TXN000348,CASE0086,Other,22/07/2022,41236,,Pending
TXN000349,CASE0166,Expense,20/04/2023,28096,,Paid
TXN000350,CASE0274,Timesheet,12/08/2021,9820,24.2,Overdue
TXN000351,CASE0136,Other,14/11/2023,10960,,Paid
TXN000352,CASE0217,Invoice,22/08/2021,16144,,Unpaid
TXN000353,CASE0017,Expense,19/04/2021,3648,,Overdue
TXN000354,CASE0435,Other,22/08/2023,40021,,Unpaid
TXN000355,CASE0308,Timesheet,16/06/2022,9442,34.9,Overdue
TXN000356,CASE0487,Timesheet,01/01/2021,48544,9.6,Paid
TXN000357,CASE0047,Payment,11/11/2022,23066,,Overdue
TXN000358,CASE0192,Timesheet,31/08/2021,12564,13.6,Pending
TXN000359,CASE0276,Other,08/09/2022,31589,,Overdue
TXN000360,CASE0423,Invoice,30/12/2023,16457,,Unpaid
TXN000361,CASE0228,Invoice,25/12/2021,43251,,Unpaid
TXN000362,CASE0158,Timesheet,15/09/2021,22031,25.3,Pending
TXN000363,CASE0143,Timesheet,25/10/2021,47515,28.4,Overdue
TXN000364,CASE0423,Timesheet,22/09/2022,34578,,Overdue
TXN000365,CASE0330,Payment,14/07/2023,14608,,Unpaid
TXN000366,CASE0190,Expense,19/08/2021,636,,Unpaid
TXN000367,CASE0213,Payment,02/08/2021,26344,,Paid
TXN000368,CASE0176,Payment,16/09/2023,37575,,Overdue
TXN000369,CASE0103,Payment,30/01/2021,29033,,Overdue
TXN000370,CASE0383,Invoice,13/12/2023,43677,,Unpaid
TXN000371,CASE0151,Invoice,18/12/2021,20623,,Pending
TXN000372,CASE0243,Expense,24/01/2022,12954,,Overdue
TXN000373,CASE0251,Payment,04/04/2022,11566,,Pending
TXN000374,CASE0412,Expense,25/07/2023,39813,,Unpaid
TXN000375,CASE0256,Payment,01/12/2023,24171,,Overdue
TXN000376,CASE0263,Timesheet,22/03/2021,40219,2.3,Paid
TXN000377,CASE0147,Timesheet,06/04/2022,48872,,Unpaid
TXN000378,CASE0067,Timesheet,19/01/2022,34709,30.7,Overdue
TXN000379,CASE0218,Timesheet,14/03/2023,35583,,Pending
TXN000380,CASE0076,Other,23/05/2022,27131,,Paid
TXN000381,CASE0020,Timesheet,03/10/2023,30713,34.4,Paid
TXN000382,CASE0453,Expense,08/10/2021,26469,,Paid
TXN000383,CASE0004,Payment,14/12/2022,44412,,Overdue
TXN000384,CASE0178,Expense,21/07/2022,40140,,Paid
TXN000385,CASE0310,Timesheet,07/10/2021,3183,23.2,Unpaid
TXN000386,CASE0338,Expense,28/02/2022,253,,Pending
TXN000387,CASE0269,Timesheet,23/04/2022,26128,34.0,Overdue
TXN000388,CASE0337,Expense,07/12/2022,30659,,Unpaid
TXN000389,CASE0475,Payment,16/04/2023,36920,,Unpaid
TXN000390,CASE0356,Invoice,29/09/2021,26074,,Unpaid
TXN000391,CASE0190,Other,15/12/2023,21059,,Pending
TXN000392,CASE0418,Expense,08/06/2021,33423,,Paid
TXN000393,CASE0302,Expense,23/07/2023,14718,,Unpaid
TXN000394,CASE0181,Payment,17/02/2023,48833,,Overdue
TXN000395,CASE0092,Payment,12/08/2022,23818,,Overdue
TXN000396,CASE0456,Payment,05/02/2021,47960,,Unpaid
TXN000397,CASE0283,Other,31/03/2022,3721,,Paid
TXN000398,CASE0143,Payment,01/11/2022,33712,,Unpaid
TXN000399,CASE0188,Invoice,24/08/2022,44759,,Pending
TXN000400,CASE0282,Timesheet,03/11/2021,39316,30.4,Unpaid
TXN000401,CASE0361,Other,10/10/2021,20890,,Pending
TXN000402,CASE0366,Timesheet,21/11/2022,17607,25.1,Overdue
TXN000403,CASE0490,Invoice,16/05/2021,23285,,Pending
TXN000404,CASE0161,Expense,29/07/2021,512,,Paid
TXN000405,CASE0432,Expense,15/04/2022,18896,,Paid
TXN000406,CASE0483,Timesheet,15/01/2023,30617,28.0,Overdue
TXN000407,CASE0480,Expense,07/11/2022,40697,,Paid
TXN000408,CASE0032,Timesheet,03/03/2022,19574,25.2,Overdue
TXN000409,CASE0061,Timesheet,12/12/2022,20366,34.0,Paid
TXN000410,CASE0078,Payment,06/05/2023,25922,,Paid
TXN000411,CASE0488,Payment,13/04/2021,23994,,Unpaid
TXN000412,CASE0409,Other,06/11/2023,37856,,Overdue
TXN000413,CASE0411,Timesheet,14/06/2022,5768,24.1,Pending
TXN000414,CASE0439,Expense,11/09/2021,43068,,Unpaid
TXN000415,CASE0190,Payment,14/05/2022,39356,,Overdue
TXN000416,CASE0205,Timesheet,11/01/2022,15137,17.0,Unpaid
TXN000417,CASE0060,Timesheet,25/06/2021,23733,38.8,Paid
TXN000418,CASE0034,Invoice,26/10/2023,11135,,Paid
TXN000419,CASE0009,Invoice,18/07/2023,42599,,Overdue
TXN000420,CASE0294,Invoice,03/01/2021,21711,,Overdue
TXN000421,CASE0359,Expense,22/10/2021,35391,,Overdue
TXN000422,CASE0361,Invoice,01/06/2022,34892,,Paid
